Título,Precio,M2,Habitaciones,Baños,Parking,Link
Piso  dreta de l'eixample / passeig de gràcia en Dreta de l´Eixample Barcelona,20 €,2,2,1,,
Piso  en venta de 92m² en el eixample en Esquerra Alta de l´Eixample Barcelona,430.000 €,92,4,2,Sin plaza parking,
Piso fantástico piso en venta de 116m² con terraza junto a calle mandri en Barcelona,845.000 €,116,3,2,Sin plaza parking,
Piso l´antiga esquerra de l´eixample en Esquerra Baixa de l´Eixample Barcelona,990.000 €,130,2,3,Sin plaza parking,
Piso  vilapicina i la torre llobeta / passeig de maragal en Barcelona,275.000 €,65,3,1,,
Piso  Horta en Horta Barcelona,165.000 €,55,3,1,,
Piso en Turó de la Peira - Can Peguera Barcelona,,,,,,
Piso  Sant Antoni / gran via de les corts catalanes en Barcelona,800.000 €,160,6,2,,
"Piso  con 3 habitaciones, ascensor y calefacción en Barcelona",450.000 €,92,3,2,Sin plaza parking,
Piso en carrer gomis piso reformado gracia/vallcarca en Barcelona,348.000 €,95,3,1,Sin plaza parking,
Piso  el Raval / carrer del tigre en Raval Barcelona,215.000 €,55,2,1,,
Piso  la teixonera / carrer de la murtra en Taxonera Barcelona,350 €,5,1,1,,
Piso  dreta de l'eixample / carrer del consell de cent en Barcelona,445.000 €,109,3,1,,
Piso en Poblenou Barcelona,260.000 €,60,4.333,,,
Ático atico con terraza y ascensor! en Sants Barcelona,,60,2,1,Sin plaza parking,
Piso en La Verneda - La Pau Barcelona,220.000 €,86,4,1,,
Casa  con 5 habitaciones con calefacción y vistas a la montaña en Barcelona,860.000 €,185,5,3,,
Casa  con 5 habitaciones con calefacción y vistas a la montaña en Barcelona,860.000 €,185,5,3,,
Casa  con 5 habitaciones con calefacción y vistas a la montaña en Barcelona,860.000 €,185,5,3,,
Piso  en Carmel Barcelona,87.000 €,45,1,1,,
Casa  con 5 habitaciones con calefacción y vistas a la montaña en Barcelona,860.000 €,185,5,3,,
Piso  alto y luminoso en sant gervasi en Sant Gervasi - Galvany Barcelona,700.000 €,160,4,2,Plaza parking ,
Piso en cardenal tedeschini 0 en Congrés - Indians Barcelona,214.610 €,80,3,1,,
Piso  vallcarca i els penitents / carrer de sostres en Barcelona,195.000 €,70,3,1,,
Piso  barri Gòtic / carrer de la dagueria en Gòtic Barcelona,330.000 €,60,2,1,,
Piso   en calle casanova en Esquerra Alta de l´Eixample Barcelona,150.000 €,30,1,1,,
Piso  fantástico piso Tres Torres en Tres Torres Barcelona,850.000 €,150,3,2,,
Piso  gran piso exterior en zona alta en Sant Gervasi - Galvany Barcelona,840.000 €,180,4,2,,
Piso   amplio centro de sarria en Sarrià Barcelona,440.000 €,93,3,1,,
"Piso   en venta en eixample, () calle sicilia en Barcelona",300.000 €,1,3,1,,
"Piso   en venta en gràcia, () republica argenti en Barcelona",696.000 €,223,5,1,,
Piso  tranquilo en finca clásica en Sant Antoni Barcelona,375.000 €,81,2,2,Sin plaza parking,
Piso en casals i cubero 0 en Verdun Barcelona,267.240 €,84,2,2,,
Piso   exterior a calle. obra nueva - calle josep sa en Barcelona,245.000 €,68,2,1,,
Piso   a pocos metros de la playa de la Barceloneta en Barcelona,177.500 €,35,1,1,,
"Piso  céntrico, luminoso, reformado en Raval Barcelona",210.000 €,57,1,1,,
Piso  en Raval Barcelona,880.000 €,185,8,4,,
Piso  en La Sagrera Barcelona,239.000 €,86,3,2,,
Piso  en Sant Gervasi - Galvany Barcelona,485.000 €,100,3,2,,
Piso  en Gòtic Barcelona,395.000 €,100,2,2,,
Piso  en Sant Gervasi - Bonanova Barcelona,850.000 €,164,4,3,,
"Piso  loft zona Pedralbes, 47 m., una habitación doble, en Barcelona",225.000 €,47,1,1,,
Piso  bajos con altillo para parejas (zona Porta - nou barris) en Barcelona,160.000 €,39,1,1,,
"Piso  ático en promoción de obra nueva zona el Raval, 44m en Barcelona",306.000 €,44,1,1,,
"Piso  promoción de obra nueva en  zona el Raval, 37 m., una en Barcelona",192.000 €,37,1,1,,
Piso   exterior a calle. obra nueva - calle josep sa en Barcelona,240.000 €,68,2,1,,
Piso  ático nuevo a estrenar zona la nova esquerra de l´e en Barcelona,470.000 €,78,2,2,,
Alquiler piso  ático nuevo a estrenar zona la nova esquerra de l´e en Barcelona,1.488 €,78,2,2,,
"Piso   de obra nueva en enrique granados, en Esquerra Alta de l´Eixample Barcelona",1.200.000 €,130,2,5,,
Piso  apartamento de lujo cerca de la marina del port vell de barcelon en Barcelona,720.000 €,89,2,4,,
Piso  espectacular apartamento frente al mar en Diagonal Mar - La Mar Bella Barcelona,1.680.000 €,177,4,6,,
Piso  espectacular propiedad en pebralbes con perfecta orientación y v en Barcelona,2.400.000 €,330,5,9,,
Piso  auténtica pieza excepcional en edificio del born siglo xiv en Barcelona,680.000 €,120,2,4,,
Piso  impecable reforma integral de apartamentos en eixample en Barcelona,1.325.000 €,170,2,5,,
Piso  con 2 habitaciones en Font d´en Fargas Barcelona,,50,2,1,,
Piso  con 3 habitaciones en Font d´en Fargas Barcelona,,88,3,2,,
Piso  elegante piso en la mejor zona del born en St. Pere - Sta. Caterina - El Born Barcelona,695.000 €,138,2,5,,
Piso  apartamento turístico en pº gracia en Dreta de l´Eixample Barcelona,1.390.000 €,110,2,4,,
Piso  venta de ático dúplex en Pedralbes en Pedralbes Barcelona,1.800.000 €,290,5,3,,
"Piso  promoción de obra nueva en  zona el Raval, 40 m., una en Barcelona",244.000 €,40,1,1,,
"Piso  promoción de obra nueva en  zona el Raval, 37 m., una en Barcelona",227.000 €,37,1,1,,
"Piso   en venta en nou barris, () amics en Vilapicina - Torre Llobeta Barcelona",329.000 €,93,4,3,,
Casa   en venta en mataró () vilardell en Hostafrancs Barcelona,510.000 €,347,4,3,,
Piso  reformado a estrenar en St. Pere - Sta. Caterina - El Born Barcelona,590.000 €,131,3,3,,
Piso  reformado en Gòtic Barcelona,245.000 €,66,2,2,,
"Piso  inmueble singular de 2 habitaciones, exterior, muy luminoso y co en Barcelona",620.000 €,81,2,1,,
Casa  con 5 habitaciones con calefacción y vistas a la montaña en Barcelona,860.000 €,185,5,3,,
Piso luminoso piso reformado en mandri en Sant Gervasi - Bonanova Barcelona,1.050.000 €,207,4,3,,
Piso  magnífica vivienda llena de luz recién reformada en Barcelona,1.390.000 €,257,4,3,,
"Piso  precioso ático dúplex con terraza en galvany, en Barcelona",1.400.000 €,225,3,5,,
"Piso  características:
piso en buen estado de 77m2 (64m2 útiles) en s en Barcelona",235.000 €,77,2,1,,
Piso  en Fort Pienc Barcelona,283.000 €,72,3,1,,
"Piso  sants / Badal , piso reformado en venta. en Badal Barcelona",185.000 €,42,2,1,,
Piso  en Sants Barcelona,290.000 €,55,2,1,,
"Piso  apartment for sale in calle d'aribau, 31. owner's direct en Barcelona",895.000 €,134,3,3,,
Piso  estupendas vistas y muy luminoso en Les Corts Barcelona,540.000 €,114,4,2,,
Piso  en Poble Sec Barcelona,209.000 €,48,3,1,,
Piso   en venta en parque las glorias en El Clot Barcelona,295.000 €,63,2,1,,
"Piso  ultimo piso,terraza comunitaria en Roquetes Barcelona",140.000 €,64,3,1,,
Piso  en Poble Sec Barcelona,420.000 €,88,2,2,,
Piso  optima inversión camp nou!! en Sant Ramon - Maternitat Barcelona,190.000 €,48,2,1,,
Piso  en La Marina-Montjuïc Barcelona,260.000 €,124,3,1,,
Piso  en Vila de Gràcia Barcelona,310.000 €,66,3,2,,
Piso  en Esquerra Alta de l´Eixample Barcelona,390.000 €,95,3,1,,
Piso   con encanto en Vila de Gràcia Barcelona,330.000 €,70,2,1,,
Piso  magnifico loft a 5 minutos de la playa en Vila Olímpica Barcelona,399.000 €,115,1,2,,
Piso  fantástico atico frente al mar en Diagonal Mar - La Mar Bella Barcelona,1.079.000 €,120,3,2,,
Piso  muntaner - gran via en Esquerra Baixa de l´Eixample Barcelona,450.000 €,65,2,2,,
Piso  johann sebastian bach - turo park en Sant Gervasi - Galvany Barcelona,1.100.000 €,155,4,3,,
Casa  impresionante chalet en urbanización privada con vistas al mar-. en Barcelona,386.999 €,250,5,3,,
Piso   ideal para inversores en Trinitat Nova Barcelona,170.000 €,52,2,1,,
Piso  en Sant Antoni Barcelona,520.000 €,105,4,2,,
Piso  luminoso piso dúplex de 5 dormitorios con terraza de 176 m² en v en Barcelona,1.675.000 €,325,5,3,,
"Piso  encantador piso con terraza en ciutat vella housfy, sin comisio en Barcelona",329.900 €,109,4,2,,
Piso  fenomenal piso con terraza en eixample compra tu piso con housf en Barcelona,400.000 €,88,3,2,,
Piso  fantástico ático con terraza en eixample housfy las comisiones en Barcelona,270.000 €,33,1,1,,
Piso  perfecto piso en sant martí compraventa entre particulares y si en Barcelona,385.000 €,102,5,2,,
"Piso  estupendo piso en nou barris  housfy, sin comisiones de inmobil en Barcelona",195.000 €,63,3,1,,
"Piso   en venta , con 40 m2 y 2 habitaciones y 1 baños en Barcelona",96.000 €,40,2,1,,
"Piso   en venta , con 262 m2, 10 habitaciones y 2 baño en Barcelona",978.000 €,262,10,2,,
Piso  precioso piso en el barrio de sant gervasi - galvany de barcelon en Barcelona,689.000 €,180,5,2,,
Piso  precioso piso a reformar con terraza en venta en eixample derech en Barcelona,650.000 €,130,5,2,,
Piso  en Horta Barcelona,199.000 €,53,3,1,,
Piso  sobre nosotros: housfy es una plataforma tecnológica que ofrece en Barcelona,880.000 €,115,3,1,,
Piso  luminosidad en el barrio de Poble Sec una vivienda ideal para a en Barcelona,430.000 €,71,2,1,,
Piso   muy exterior con terrazas junto mercado de Les Corts de 128 en Barcelona,475.000 €,128,4,2,,
Piso  encantador piso con terraza en nou barris de particular a parti en Barcelona,150.000 €,67,2,1,,
Casa  exclusivo piso en finca modernista en Putget - Farró Barcelona,550.000 €,95,2,1,,
Piso  junto plaza taumaturgo en Sant Gervasi - Galvany Barcelona,1.100.000 €,153,4,3,,
Piso  en Prosperitat Barcelona,186.000 €,84,4,1,,
"Piso   en venta en calle florida, , en Prosperitat Barcelona",103.800 €,69,3,1,,
Piso  terraza soleada y abierta en Sagrada Família Barcelona,289.000 €,142,3,1,,
"Piso  estupendo piso en el barrio gótico housfy, de particular a part en Barcelona",260.000 €,66,2,1,,
Piso   a estrenar con gran terraza soleada en La Marina-Montjuïc Barcelona,330.000 €,110,1,1,,
Piso   a estrenar con terraza grande en La Marina-Montjuïc Barcelona,295.000 €,80,1,1,,
Piso   en plena zona comercial del gotico 80 metros con una terraz en Barcelona,329.000 €,80,3,1,,
Piso  bienvenido a nuestro exclusivo ático con terraza privada donde p en Barcelona,1.120.000 €,244,5,3,,
Piso  en Provençals del Poblenou Barcelona,210.000 €,55,2,1,,
Piso  se vende piso y parking en finca en La Sagrera Barcelona,278.000 €,63,2,1,,
Piso  vivienda en planta muy alta y luminosa en La Bordeta Barcelona,295.000 €,61,2,2,,
Casa  en Roquetes Barcelona,160.000 €,200,6,2,,
Piso  oportunidad¡¡ vendemos piso de entidad bancaria !!! en Barcelona,136.400 €,59,3,1,,
Piso  en El Clot Barcelona,279.000 €,75,3,1,,
"Piso   en venta en eixample - eixample derecha, 4 dormitorios. en Barcelona",299.000 €,80,4,1,,
"Piso   situado en pleno ensanche c/urgell-granvia, 52 en Barcelona",259.000 €,52,3,2,,
Piso   reformado en Poble Sec en Poble Sec Barcelona,255.000 €,57,1,1,,
Piso  en Sant Gervasi - Galvany Barcelona,450.000 €,97,4,2,,
"Piso   reformado, exterior y luminoso - metro jaume i en Barcelona",215.000 €,60,1,1,,
Piso   en el eixample en Gòtic Barcelona,690.000 €,131,3,3,,
Piso  carrer gaiarre en Sants Barcelona,195.000 €,96,4,1,,
Piso  en Camp d´en Grassot - Gràcia N. Barcelona,150.000 €,69,1,1,,
Piso   a estrenar en Verdun Barcelona,210.000 €,65,3,1,,
Piso  amplio piso de 80m2. totalmente reformado. 2 dormitorios dobles. en Barcelona,269.000 €,75,2,1,,
Piso  situado en una finca de 1970 muy cuidada y con ascensor encontra en Barcelona,195.000 €,66,3,1,,
Piso  en Poblenou Barcelona,255.000 €,50,3,1,,
Piso   en excelente zona en Esquerra Baixa de l´Eixample Barcelona,375.000 €,90,4,2,,
Piso   2 habitaciones venta en Sant Gervasi - Bonanova Barcelona,550.000 €,75,2,2,,
Piso  en Esquerra Baixa de l´Eixample Barcelona,445.000 €,90,4,2,,
Piso  gran oportunidad! en Poble Sec Barcelona,419.000 €,110,4,2,,
Piso   4 habitaciones dobles exteriores en Poble Sec Barcelona,419.000 €,110,4,2,,
Piso  en Esquerra Baixa de l´Eixample Barcelona,389.000 €,97,4,2,,
Piso  en Prosperitat Barcelona,230.000 €,95,3,2,,
Alquiler piso  en La Sagrera Barcelona,1.374 €,108,4,1,,
Alquiler piso  en Gòtic Barcelona,1.000 €,90,4,1,,
Alquiler piso  en Raval Barcelona,1.100 €,45,2,1,,
Alquiler piso  en Dreta de l´Eixample Barcelona,1.100 €,80,3,1,,
Alquiler piso  en Esquerra Alta de l´Eixample Barcelona,1.200 €,105,3,2,,
Alquiler piso  en Gòtic Barcelona,1.200 €,80,4,2,,
Piso  oportunidad piso en venta en Sants Barcelona,275.000 €,50,2,1,,
Piso  Horta / passeig universal en Horta Barcelona,209.000 €,65,3,1,,
Ático  dreta de l'eixample en Dreta de l´Eixample Barcelona,900.000 €,100,3,2,,
Piso  Provençals del Poblenou / avinguda diagonal en Barcelona,395.000 €,84,2,2,,
"Piso  este maravilloso sobreatico, en la calle pare rodes , con una en en Barcelona",217.000 €,85,2,1,,
Piso  el Raval / plaça del pedró en Raval Barcelona,158.000 €,78,3,1,,
Ático  barri Gòtic en Gòtic Barcelona,285.000 €,47,1,1,,
Piso  en Esquerra Baixa de l´Eixample Barcelona,389.000 €,90,4,2,,
Piso  el camp d'en grassot i gràcia nova en Camp d´en Grassot - Gràcia N. Barcelona,360.000 €,86,4,2,,
Piso  diagonal mar i el front marítim del poblenou / car en Barcelona,1.090.000 €,90,2,1,,
Piso  la maternitat i sant ramon / carrer de maria barri en Barcelona,220.000 €,70,2,2,,
Piso   en paseo urrutia 4 habitaciones en Turó de la Peira - Can Peguera Barcelona,180.000 €,80,4,2,,
Piso  Vila de Gràcia / travessera de gràcia en Vila de Gràcia Barcelona,1.450 €,130,3,2,,
Piso  Provençals del Poblenou en Provençals del Poblenou Barcelona,185.000 €,70,3,1,,
Piso  Sant Andreu del palomar en Sant Andreu Barcelona,295.990 €,85,2,2,,
Piso  barri Gòtic / carrer de les moles en Gòtic Barcelona,450.000 €,79,3,3,,
Casa  espectacular casa urbana en gracia en Vila de Gràcia Barcelona,699.000 €,185,3,2,,
Piso  la verneda i la pau / carrer del maresme en La Verneda - La Pau Barcelona,180.000 €,75,3,1,,
Piso  ático vanguardista con terraza en venta junto a rambla cataluña en Barcelona,850.000 €,150,1,1,,
Piso  Torre Baró / carretera antiga d'horta a cerdanyola en Barcelona,200.000 €,80,4,1,,
Piso  el Raval en Raval Barcelona,355.000 €,100,3,1,,
Piso  el parc i la llacuna del poblenou / carrer de well en Barcelona,249.000 €,64,3,1,,
Piso  El Clot / carrer dEl Clot en El Clot Barcelona,255.000 €,75,4,2,,
Piso  el turó de la peira / carrer del doctor pi i molis en Barcelona,200.000 €,75,3,1,,
Piso  Sant Andreu del palomar / carrer del segre en Barcelona,360.000 €,112,4,2,,
Piso  gran oportunidad en el centro en Dreta de l´Eixample Barcelona,110.000 €,30,1,1,,
Piso  la Barceloneta / carrer de sant elm en Barceloneta Barcelona,165.000 €,33,1,1,,
Piso  la marina del port / carretera del prat en La Marina-Montjuïc Barcelona,315.000 €,86,3,2,,
Loft  el camp d'en grassot i gràcia nova / carrer de ca en Barcelona,180.000 €,40,1,1,,
Piso  barri Gòtic en Gòtic Barcelona,259.000 €,62,1,1,,
Piso  el Poble Sec - parc de montjuïc / carrer d'elkano en Barcelona,240.000 €,53,2,1,,
Piso  el besós i el maresme / carrer de llull en Besòs - Maresme Barcelona,367.000 €,100,3,1,,
Piso  La Salut / passatge de garcía i robles en La Salut Barcelona,230.000 €,80,4,1,,
Piso  el Baix Guinardó / carrer de lepant en Baix Guinardó Barcelona,240.000 €,60,3,1,,
Piso  sant gervasi- galvany / carrer de brusi en Sant Gervasi - Galvany Barcelona,650 €,127,4,2,,
Piso  el Raval / carrer del carme en Raval Barcelona,630 €,25,2,1,,
Casa adosada  Sant Andreu del palomar / riera de Sant Andreu en Barcelona,450.000 €,240,5,3,,
Piso  luminoso exterior Poble Sec en Poble Sec Barcelona,332.000 €,112,4,1,Plaza parking ,
Piso  . paseo de gracia en Dreta de l´Eixample Barcelona,,1.000,,,Sin plaza parking,
Piso  el Poble Sec - parc de montjuïc en Poble Sec Barcelona,450 €,12,2,1,,
Piso  la Prosperitat en Prosperitat Barcelona,79.999 €,45,2,1,,
Piso  la Trinitat Nova en Trinitat Nova Barcelona,95.000 €,49,2,1,,
Ático  el Poble Sec - parc de montjuïc en Poble Sec Barcelona,280.000 €,60,2,1,,
Piso  el camp d'en grassot i gràcia nova en Camp d´en Grassot - Gràcia N. Barcelona,359.000 €,98,3,1,,
Piso  el besós i el maresme en Besòs - Maresme Barcelona,390.000 €,103,4,1,,
Ático  Sarrià en Sarrià Barcelona,399.000 €,60,2,1,,
Piso ciutat vella - via layetana en Gòtic Barcelona,,132,,,Sin plaza parking,
"Casa  en venta en nou barris, () escolapi cancer en Barcelona",120.672 €,129,1,1,,
"Piso en carrer dels ocells sant pere, sta. caterina i la ribera / carrer dels en Barcelona",175.700 €,47,2,1,,
Piso en carrer de mendel 1 piso con 4 habitaciones con ascensor y aire acondicionado en Barcelona,930.000 €,130,4,2,,
Piso  barri Gòtic en Gòtic Barcelona,750.000 €,105,3,2,,
Piso obra seminueva duplex en Bon Pastor Barcelona,,85,2,2,,
"Piso tercero con 7 habitaciones, ascensor y calefacción en Barcelona",,431,7,8,,
Piso en Raval Barcelona,112.000 €,35,1,1,,
Piso poble nou en Poblenou Barcelona,,44,2,1,Sin plaza parking,
Piso  en venta () doctor cadevall en Guinardó Barcelona,130.000 €,90,1,1,,
Piso  Porta / plaça de la república en Porta Barcelona,185.000 €,60,2,1,,
Piso  reformado en venta en passeig de gràcia en Barcelona,,245,4,3,,
Piso  en venta () doctor cadevall en Guinardó Barcelona,103.200 €,90,1,1.147,,
Piso  con 3 habitaciones en La Bordeta Barcelona,,80,3,1,,
Piso  en venta () doctor cadevall en Guinardó Barcelona,103.200 €,90,1,1.147,,
Apartamento  ideal en ronda general mitre en Barcelona,265.000 €,47,1,1,,
Piso  en venta () font del remei en El Coll Barcelona,246.000 €,1,1,246.000,,
"Piso  en venta en pedanía de baños y mendigo, () reina amalia en Barcelona",112.000 €,59,2,1,,
Apartamento  en venta en santa margarida de montbui () lorca en Barcelona,156.100 €,128,2,2,,
Piso  en venta () rasos de peguera en Ciutat Meridiana Barcelona,88.700 €,60,3,1,,
Piso  en Camp de l´Arpa Barcelona,195.000 €,65,1,1,,
Piso en travau 0 en Turó de la Peira - Can Peguera Barcelona,110.700 €,53,2.089,,,
Piso  con 2 habitaciones en Raval Barcelona,130.000 €,48,2,1,,
Piso  en venta () premia en Sants Barcelona,273.000 €,91,1,1,,
Ático atico via laietana en Gòtic Barcelona,680.000 €,63,1,10.794,Sin plaza parking,
Piso en ronda Sant Antoni inversión Sant Antoni. piso reformado rentable en Barcelona,170.000 €,40,1,1,,
"Ático  con 3 habitaciones con ascensor, calefacción y vistas al mar en Barcelona",685.000 €,120,3,1,,
Piso vivienda bajos dúplex zona gran via en Provençals del Poblenou Barcelona,200.000 €,143,2,2,,
"Piso en passatge de sert sant pere, sta. caterina i la ribera / passatge de en Barcelona",235.000 €,50,1,1,,
Piso en carrer dEl Clot El Clot / carrer dEl Clot en Barcelona,265.000 €,67,2,1,,
Piso pieza exclusiva en Sant Gervasi - Galvany Barcelona,,330,5,4,Plaza parking ,
Piso  con 3 habitaciones en Ciutat Meridiana Barcelona,69.900 €,56,3,1,Sin plaza parking,
Piso  verdum en Roquetes Barcelona,102 €,50,3,1,,
Piso  con 3 habitaciones en Carmel Barcelona,111.000 €,61,3,1,,
Casa en carrer flor de neu casa unifamiliar de 135m2 construidos en Barcelona,390.000 €,135,6,2,,
Ático en passeig de la zona franca la marina del port / passeig de la zona franca en Barcelona,355.000 €,78,3,1,,
Piso  en venta () sicilia en Camp d´en Grassot - Gràcia N. Barcelona,262.300 €,106,1,2.475,,
Piso en plaça de manuel ainaud la verneda i la pau / plaça de manuel ainaud en Barcelona,369.000 €,101,3,1,Plaza parking ,
"Piso flat for sale in sarria, en Pedralbes Barcelona",245.000 €,29,1,8.448,,
"Piso  alto, exterior y luminoso en Camp de l´Arpa Barcelona",245.000 €,87,4,1,Sin plaza parking,
Piso en passeig de la zona franca la marina del port / passeig de la zona franca en Barcelona,225.000 €,72,3,1,,
Piso en carrer de sant antoni maria claret el Guinardó / carrer de sant antoni maria claret en Barcelona,250.000 €,63,2,1,,
Piso en sant antoni abat 0 en Raval Barcelona,144.330 €,33,4.374,,,
Piso en Gòtic Barcelona,149.000 €,57,1,1,,
Piso por rehabilitar con mucha luz en Sarrià Barcelona,535.000 €,114,4,2,Sin plaza parking,
Piso en carrer de torns sants-Badal / carrer de torns en Barcelona,196.000 €,58,3,1,,
Piso en sant antoni abat 0 en Raval Barcelona,144.330 €,33,4.374,,,
Piso en carrer sants edificio en venta en calle sants en Barcelona,890.000 €,334,8,4,,
Piso  con 2 habitaciones en La Bordeta Barcelona,154.900 €,65,2,1,Sin plaza parking,
Piso  Horta / carrer de fàtima en Horta Barcelona,194.000 €,79,2,1,,
Planta baja vivienda planta baja por reformar de 100 metros en Barcelona,149.000 €,100,3,2,,
Loft en carrer romans bonito loft en gracia en Camp d´en Grassot - Gràcia N. Barcelona,96.000 €,35,1,1,,
Piso en carrer del segura la marina del port / carrer del segura en Barcelona,265.000 €,75,3,1,,
Piso en carrer d el Raval / carrer d en Raval Barcelona,125.000 €,39,2,1,,
Piso en clot El Clot / clot en El Clot Barcelona,315.000 €,75,1,1,,
Piso  en venta () foradada en Trinitat Vella Barcelona,110.200 €,93,3,1,,
Piso en carrer de fluvià Provençals del Poblenou / carrer de fluvià en Barcelona,379.000 €,69,2,1,Plaza parking ,
Piso en carrer de nàpols el camp d en Camp d´en Grassot - Gràcia N. Barcelona,375.000 €,95,3,2,,
Piso en carrer gasela La Guineueta / carrer gasela en Barcelona,165.000 €,63,3,1,,
Estudio en carrer sant ildefons estudio en Sant Andreu en Barcelona,48.000 €,15,1,1,,
Piso en passeig valldaura La Guineueta / passeig valldaura en Barcelona,190.000 €,65,4,1,,
Piso en Torre Baró Barcelona,140.500 €,84,3,1,,
Piso  con 2 habitaciones en Dreta de l´Eixample Barcelona,193.200 €,69,2,1,,
Piso  Sant Genís dels Agudells en Sant Genís dels Agudells Barcelona,155 €,50,2,1,,
Piso  en venta () jaume roig en Badal Barcelona,113.600 €,37,1,1,,
Piso  con 2 habitaciones en Porta Barcelona,133.000 €,50,2,1,,
"Piso  en venta en sant andreu, () mare de deu de lorda en Barcelona",122.300 €,59,3,1,,
Piso en carrer de xifré el camp de l en Camp de l´Arpa Barcelona,268.000 €,80,3,1,,
"Piso  en venta en ciutat vella, () cera en Raval Barcelona",112.800 €,55,2,1,,
Piso magnifico piso en Sarrià Barcelona,535.000 €,114,4,2,,
"Ático exclusivo ático de 275m² de 5 habitaciones y 4 baños, con terraza y reformado en via augusta, en Barcelona",1.750.000 €,275,5,4,,
Piso en monec 0 en St. Pere - Sta. Caterina - El Born Barcelona,171.970 €,32,1,1,,
Piso Sant Martí de provençals en Sant Martí Barcelona,212.000 €,68,2,1,,
Piso la marina del port en La Marina-Montjuïc Barcelona,459.000 €,108,3,2,Plaza parking ,
Piso en carrer de sardenya Fort Pienc / carrer de sardenya en Barcelona,372.000 €,74,3,1,,
Piso en monec 0 en St. Pere - Sta. Caterina - El Born Barcelona,171.970 €,32,1,1,,
Piso en Raval Barcelona,159.000 €,79,2,1,,
"Piso  en venta en eixample, () bisbe laguarda en Barcelona",282.400 €,72,2,1,,
Piso fantástica oportunidad de 3 habitaciones en gràcia (bn2-374) en Barcelona,262.000 €,88,3,1,,
Piso  con 5 habitaciones y ascensor en Dreta de l´Eixample Barcelona,1.133.000 €,166,5,2,,
Piso en Sants Barcelona,150.000 €,43,3,1,,
Piso se vende nuda propiedad. en Congrés - Indians Barcelona,60.000 €,56,2,1,,
Piso en Besòs - Maresme Barcelona,139.700 €,59,3,1,,
Loft se vende loft junto al metro en Roquetes Barcelona,83.000 €,90,1,922,,
"Piso primero con 3 habitaciones, ascensor y terraza en Barcelona",300.000 €,3,2,,,
Piso en ramón turró - 0 en Diagonal Mar - La Mar Bella Barcelona,276.010 €,71,3,1,,
Piso  con 2 habitaciones en Hostafrancs Barcelona,200.000 €,91,2,1,Sin plaza parking,
Piso  en venta en Sagrada Família Barcelona,223.600 €,58,2,1,,
