name,description,date
"Soyuz 2.1b | Uzlovoy Module (UM) ""Prichal""","The UM (Uzlovoy Module) or NM (Node Module) is a node to be added to the Russian part of the ISS complex. It is also named Prichal.
UM will be delivered by a modified Progress space tug, called Progress-M-UM. The UM will be docked to the nadir port of the MLM (Nauka) module, providing four ports to mount additional modules and one docking port for cargo and crew spacecrafts.",2021-05-01
Falcon 9 Block 5 | Dedicated SSO Rideshare Mission 2,no information,2021-06-01
Soyuz 2.1a | Obzor-R No.1,no information,2021-06-01
Falcon 9 Block 5 | Axiom Space Mission,This is a Crew Dragon flight for a private company Axiom Space. The mission will carry a commander professionally trained by Axiom alongside three private astronauts to and from the International Space Station. This crew will stay aboard space station for at least eight days.,2021-06-01
Vega-C | 2 x Pléiades Neo,no information,2021-06-01
Falcon 9 Block 5 | Double Asteroid Redirection Test (DART),"Double Asteroid Redirection Test (DART) mission is the first-ever mission to demonstrate the capability to deflect an asteroid by colliding a spacecraft with it at high speed â€“ a technique known as a kinetic impactor.
DART is a planetary defense-driven test of one of the technologies for preventing the Earth impact of a hazardous asteroid: the kinetic impactor. DARTâ€™s primary objective is to demonstrate a kinetic impact on a small asteroid. The binary near-Earth asteroid (65803) Didymos is the target for DART. While Didymosâ€™ primary body is approximately 800 meters across, its secondary body (or â€œmoonletâ€) has a 150-meter size, which is more typical of the size of asteroids that could pose a more common hazard to Earth.
The DART spacecraft will achieve the kinetic impact by deliberately crashing itself into the moonlet at a speed of approximately 6 km/s, with the aid of an onboard camera and sophisticated autonomous navigation software. The collision will change the speed of the moonlet in its orbit around the main body by a fraction of one percent, enough to be measured using telescopes on Earth.",2021-06-01
Ariane 5 ECA | Heinrich Hertz (H2Sat),no information,2021-06-01
Ravn  | ASLON-45,Agile Small Launch Operational Normalizer-45 (ASLON-45) is a USAF mission which will consist of multiple 3U and larger U.S. government cubesats to low Earth orbit (LEO) at a 45 degree inclination.,2021-07-01
Vulcan 522 | Peregrine lunar lander (Maiden flight),no information,2021-07-01
Electron | CAPSTONE,"CAPSTONE (Cislunar Autonomous Positioning System Technology Operations and Navigation Experiment) is a 12-U cubesat mission to test operations in near rectiliniar halo orbit around the Moon, which is to be used for the Lunar Gateway space station. Mission will verify the near rectilinear halo orbit characteristics, spacecraft-to-spacecraft navigation services in that orbit, and provide valuable experience of small sat launch to the Moon.",2021-07-01
Ariane 5 ECA | Ovzon-3,no information,2021-07-01
Ariane 62 | OneWeb,no information,2021-07-01
Falcon 9 Block 5 | Spaceflight GTO-C (Hakuto-R 1),no information,2021-07-01
Atlas V N22 | USCV-3 (Starliner-1),"USCV-3 (US Crew Vehicle-3), also known as Starliner-1, is the first operational crewed flight of the Boeing Starliner vehicle. It will take NASA astronauts Sunita Williams and Josh Cassada on what is planned as the first long duration mission of Starliner to International Space Station.",2021-07-01
Soyuz 2.1a/Fregat-M | Meteor-M No.2-3,no information,2021-08-01
Atlas V 551 | USSF-12,no information,2021-08-01
Falcon 9 Block 5 | SWOT - Surface Water and Ocean Topography,no information,2021-09-01
Vulcan 542 | Dream Chaser CRS 2 Flight 1,no information,2021-09-01
Soyuz 2.1b/Fregat-M | Luna 25,no information,2021-10-01
Ariane 64 | ViaSat-3 series satellite,no information,2021-10-01
Atlas V 401 | Lucy,no information,2021-10-01
Ariane 62 | 2 x Galileo,no information,2021-10-01
Ariane 62 | CSO 3,"The CSO 3 (Composante Spatiale Optique 3 satellite is the third of three new-generation high-resolution optical imaging satellites for the French military, replacing the Helios 2 spy satellite series.",2021-10-01
Falcon 9 Block 5 | Nova-C lunar lander,no information,2021-10-11
Ariane 5 ECA | James Webb Space Telescope (JWST),no information,2021-10-31
SLS Block 1 | Artemis-1,Artemis-1 (previously Exploration Mission 1) is the first flight on Space Launch System and the second flight of Orion crew spacecraft. Mission is planned to be an uncrewed circumlunar flight.,2021-11-01
Falcon 9 Block 5 | Dedicated SSO Rideshare Mission 3,no information,2021-12-01
Angara 1.2 | KOMPSAT-6,no information,2021-12-01
Atlas V 541 | GOES-T,no information,2021-12-01
Vulcan 542 | Dream Chaser CRS 2 Flight 2,no information,2021-12-01
Vega-C | KOMPSAT-7,KOMPSAT-7 is the follow-up model of KOMPSAT-3A whose mission is to provide high-resolution satellite images to satisfy South-Koreaâ€™s governmental and institutional needs.,2021-12-01
Atlas V 551 | Silent Barker,no information,2022-01-01
Epsilon  | JV-LOTUSat-2,no information,2022-01-01
Vega-C | Space Rider,no information,2022-01-01
Vega | THEOS-2,no information,2022-01-01
Vega | NAOS,no information,2022-01-01
Electron | Archinaut One,"Archinaut One is a mission to demonstrate the ability of small spacecraft to manufacture and assemble spacecraft components in low-Earth orbit. Once itâ€™s positioned in low-Earth orbit, the spacecraft will 3D-print two beams that extend 32 feet (10 meters) out from each side of the spacecraft. As manufacturing progresses, each beam will unfurl two solar arrays that generate as much as five times more power than traditional solar panels on spacecraft of similar size.",2022-01-01
Ariane 64 | GO-1,no information,2022-01-01
Falcon 9 Block 5 | Intelsat 40e,no information,2022-01-01
PSLV-XL | Aditya-L1,"Aditya L1 is an Indian solar observation satellite to be placed at the Sun-Earth Lagrangian point L1.
The major scientific objectives of the mission are to achieve a fundamental understanding of the physical processes that heat the solar corona, accelerate the solar wind and produce Coronal Mass Ejections (CMEs).
Originally the mission design started as a small LEO satellite carrying only a coronagraph as a payload. In order to get the best science from the Sun, continuous viewing of the Sun is preferred. A Satellite placed in the halo orbit around the L1 Lagrangian point of the Sun-Earth system has the major advantage of continuously viewing the Sun without any occultation/ eclipses.",2022-01-01
Falcon 9 Block 5 | Nilesat-301,no information,2022-01-01
Soyuz STB/Fregat | Euclid,no information,2022-01-01
GSLV Mk II | NISAR (NASA-ISRO Synthetic Aperture Radar),no information,2022-01-01
Atlas V 421 | SBIRS GEO-6,no information,2022-01-01
Proton-M/Blok DM-03 | Elektro-L No.4,no information,2022-01-01
Atlas V 401 | JPSS 2 (Joint Polar Satellite System spacecraft No. 2),"JPSS is a collaborative program between NOAA and NASA. JPSS-2 is one of five satellites that will comprise the JPSS constellation. These spacecraft gather global measurements of atmospheric, terrestrial and oceanic conditions, including sea and land surface temperatures, vegetation, clouds, rainfall, snow and ice cover, fire locations and smoke plumes, atmospheric temperature, water vapor and ozone.",2022-01-01
H-III  | Inmarsat satellite,no information,2022-01-01
H-III 24 | HTV-X1,no information,2022-02-01
Vulcan | USSF-106,USSF-106 is a mission for the United States Space Force.,2022-03-01
Vulcan | USSF-51,no information,2022-03-01
Soyuz STA/Fregat | EarthCARE,EarthCARE (Earth Cloud Aerosol and Radiation Explorer) is a joint mission of ESA and JAXA. The main goal of the mission is the observation and characterization of clouds and aerosols as well as measuring the reflected solar radiation and the infrared radiation emitted from Earth's surface and atmosphere.,2022-06-01
Atlas V | SES-20 & SES-21,no information,2022-06-01
Falcon 9 Block 5 | SES-18 & SES-19,SES-18 & SES-19 are two communications satellites built by Northrop Grumman.,2022-06-01
Vega | Proba-3,no information,2022-06-01
Ariane 64 | JUICE (JUpiter ICy moons Explorer),"JUICE is an ESA mission to study some of the Jupiter's moons: Ganymede, Callisto and Europa.",2022-06-01
Delta IV Heavy | NROL-91,no information,2022-07-01
"Falcon Heavy | Psyche, EscaPADE and Janus","Psyche is a NASA interplanetary mission to visit the main belt asteroid of the same name, 16 Psyche. Spacecraft will take 4 years and one Mars flyby to reach the asteroid, which is of particular interest due to being comprised mostly of iron and nickel. Psyche is theorized to be a remnant of an early planet's core, and may offer insights into how solar system formed and evolved. The mission is led by Arizona State University, with NASA JPL being responsible for mission management and operations. This launch also includes two secondary payloads: Escape and Plasma Acceleration and Dynamics Explorers (EscaPADE), which will study the Martian atmosphere, and Janus, which will study binary asteroids.",2022-07-01
Falcon 9 Block 5 | KPLO (Korean Pathfinder Lunar Orbiter),no information,2022-07-01
Proton-M/Briz-M | ExoMars 2022 Kazachok surface platform & Rosalind Franklin rover,"ExoMars 2022 is a second mission of two-part astrobiology project to search for evidence of life on Mars, a joint mission of the European Space Agency and the Russian space agency Roscosmos that consists out of surface module with a rover onboard. The primary objective is to land the rover at a site with high potential for finding well-preserved organic material, particularly from the very early history of the planet. The rover is expected to travel several kilometers during its mission.
The European rover will be the first mission to combine the capability to move across the surface and to study Mars at depth. It will collect samples with a drill down to a depth of 2 m and analyze them with next-generation instruments in an onboard laboratory. Underground samples are more likely to include biomarkers, since the tenuous martian atmosphere offers little protection from radiation and photochemistry at the surface.
While the rover will drive away from the surface platform to perform scientific investigations within several kilometers of the landing site, the Russian-made platform will remain stationary and will investigate the local surface environment for its normal mission lifetime of one Earth year. The main science priorities for the platform are context imaging of the landing site, long-term climate monitoring, and atmospheric investigations. Sensors and instruments will also study the subsurface water distribution at the landing site, investigate the exchange of volatiles between the atmosphere and the surface, monitor the radiation environment and compare it with measurements made with the radiation dosimeter on the Trace Gas Orbiter, and carry out geophysical investigations of the planet's internal structure.",2022-08-01
SLS Block 1 | Artemis-2,no information,2022-09-01
Falcon Heavy | USSF-67,USSF-67 is a mission for the United States Space Force.,2022-09-01
Vega | Biomass,"Biomass is an Earth observation satellite launched as a part of ESA Earth Explorer program. It will be using a P-band synthetic aperture radar to collect data on the height of forests, allowing scientists to determine the amount of biomass and carbon stored there.",2022-10-01
Falcon 9 Block 5 | Arctic Satellite Broadband Mission,no information,2022-10-01
"Falcon 9 Block 5 | PACE (Plankton, Aerosol, Cloud, ocean Ecosystem)","PACE (Plankton, Aerosol, Cloud, ocean Ecosystem) is a NASA Earth observation satellite mission. It will make global ocean color measurements to provide extended data records on ocean ecology and global biogeochemistry (e.g., carbon cycle) along with polarimetry measurements to provide extended data records on clouds and aerosols.",2022-12-01
Proton-M/Blok DM-03 | Elektro-L No.5,no information,2022-12-01
Long March 5  | Chang'e 6,Chang'e 6/CE-6 is scheduled to launch around 2020. It will land in the the polar region of the Moon and get a sample for return to Earth,2023-01-01
Epsilon  | JV-LOTUSat-1,no information,2023-01-01
Vega | FLEX,The Fluorescence Explorer (FLEX) satellite is a part of ESA's Earth Explorer program. The satellite will map vegetation fluorescence to quantify photosynthetic activity.,2023-01-01
Delta IV Heavy | NROL-68,no information,2023-01-01
Angara A5/Briz-M | Unknown,no information,2023-10-01
Vega-C | Ital-GovSatCom,no information,2024-01-01
SLS Block 1 | Artemis-3,no information,2024-01-01
Long March 5  | Chang'e 7,no information,2024-01-01
Delta IV Heavy | NROL-70,no information,2024-01-01
Soyuz 2.1b/Fregat-M | Luna 26,no information,2024-11-13
Soyuz 2.1b/Fregat-M | Luna 27,no information,2025-01-01
SLS Block 1B | Artemis-4,no information,2025-01-01
SLS Block 1 | Europa Clipper,"Europa Clipper is the first dedicated mission to study Jupiter's moon Europa. Mission is developed by NASA and comprises of an orbiter spacecraft, which, while in orbit around Jupiter, will perform numerous flybys over Europa. Europa Clipper payload suit included high-resolution cameras and spectrometers for imaging Europa's surface and thin atmosphere, an ice-penetrating radar to search for subsurface water, and a magnetometer and gravity measurements to measure the moon's magnetic field and unlock clues about its ocean and deep interior.",2025-01-01
SLS Block 1B | Artemis-5,no information,2026-01-01
SLS Block 1B | Artemis-6,no information,2027-01-01
SLS Block 1B | Artemis-7,no information,2028-01-01
Ariane 62 | ARIEL & Comet Interceptor,"Atmospheric Remoteâ€sensing Infrared Exoplanet Largeâ€survey mission (ARIEL) is an ESA telescope. During a 4-year mission, ARIEL will observe 1000 planets orbiting distant stars and make the first large-scale survey of the chemistry of exoplanet atmospheres. For a select number of exoplanets, ARIEL will also perform a deep survey of their cloud systems and study seasonal and daily atmospheric variations. ARIEL shares the ride with another ESA mission, Comet Interceptor. It consists of three spacecraft which will be positioned at the Sun-Earth Lagrange point L2, where they will wait for a long-period comet or an interstellar object to come by. Once the desired target appears, the spacecraft will separate and perform a flyby of the target, compiling a detailed 3D profile of a comet.",2028-06-01
