name,net,window_end,window_start,mission,pad,location,orbit,status.name,mission_type,description
"Soyuz 2.1b/Fregat-M | Gonets-M27, Gonets-M28, Gonets-M29",2020-09-29 00:00:00+00:00,2020-09-29T00:00:00Z,2020-09-29T00:00:00Z,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Long March 6  | Satellogic x 10,2020-09-30 00:00:00+00:00,2020-09-30T00:00:00Z,2020-09-30T00:00:00Z,Satellogic x 13,Launch Complex 16,"Taiyuan, People's Republic of China",LEO,TBD,Earth Science,First batch of remote sensing satellites for Satellogic's constellation.
Falcon 9 Block 5 | Sirius SXM-7,2020-09-30 00:00:00+00:00,2020-09-30T00:00:00Z,2020-09-30T00:00:00Z,SXM-7,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,Communications,"SXM-7 is a large high power broadcasting satellite for SiriusXM's digital audio radio service (DARS).
Space Systems/Loral (SS/L) got in July 2016 the contract to build the two satellites based on their SSL-1300 bus - SXM-7 and SXM-8. Both operate in the S-band spectrum. Each satellite will generate more than 20-kW of power and will have a large unfurlable antenna reflector, which enables broadcast to radios without the need for large dish-type antennas on the ground.
SXM-7 is meant to replace the XM-3 satellite."
Antares 230+ | Cygnus CRS-2 NG-14,2020-09-30 02:26:00+00:00,2020-09-30T02:26:00Z,2020-09-30T02:26:00Z,Cygnus CRS-2 NG-14,Launch Area 0 A,"Wallops Island, Virginia, USA",LEO,TBD,Resupply,This is the 15th planned flight of the Orbital ATK's uncrewed resupply spacecraft Cygnus and its 14th flight to the International Space Station under the Commercial Resupply Services contract with NASA.
Falcon 9 Block 5 | GPS III SV04,2020-10-01 00:00:00+00:00,2020-10-01T04:00:00Z,2020-10-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Electron | StriX-α,2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,Rocket Lab Launch Complex 1A,"Onenui Station, Mahia Peninsula, New Zealand",,TBD,,no information
Atlas V 551 | STP-3,2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Atlas V 511 | USSF-8,2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Falcon Heavy | USSF-44,2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,Launch Complex 39A,"Kennedy Space Center, FL, USA",,TBD,,no information
Delta IV Heavy | NROL-82,2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,NROL-82,Space Launch Complex 6,"Vandenberg AFB, CA, USA",,TBD,Government/Top Secret,Classified payload for the U.S. National Reconnaissance Office.
Falcon 9 Block 5 | Türksat 5A,2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Soyuz 2.1b/Fregat-M | OneWeb 7,2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",,TBD,,no information
H-IIA | Inmarsat-6 F1,2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,Yoshinobu Launch Complex,"Tanegashima, Japan",,TBD,,no information
Atlas V N22 | CST-100 Starliner Orbital Flight Test 2 (Uncrewed),2020-10-01 00:00:00+00:00,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,CST-100 Starliner Orbital Flight Test 2 (Uncrewed),Space Launch Complex 41,"Cape Canaveral, FL, USA",LEO,TBD,Test Flight,This is the second uncrewed test flight for the Starliner spacecraft. Reflight of the OFT mission will allow Boeing to demonstrate readiness of the spacecraft and implement corrections to the problems which were found during the first OFT flight.
Soyuz 2.1a | Soyuz MS-17,2020-10-14 00:00:00+00:00,2020-10-14T00:00:00Z,2020-10-14T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Soyuz 2.1a/Fregat-M | CAS500-1 & rideshare,2020-10-15 00:00:00+00:00,2020-10-15T00:00:00Z,2020-10-15T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Firefly Alpha | Maiden Flight,2020-10-15 00:00:00+00:00,2020-10-15T00:00:00Z,2020-10-15T00:00:00Z,Maiden Flight,Space Launch Complex 2W,"Vandenberg AFB, CA, USA",LEO,TBD,Test Flight,First flight of the new Firefly Alpha small sat launcher developed by Firefly Aerospace.
Soyuz STA/Fregat | Falcon Eye 2,2020-10-16 00:00:00+00:00,2020-10-16T00:00:00Z,2020-10-16T00:00:00Z,Falcon Eye 2,Soyuz Launch Complex,"Kourou, French Guiana",,TBD,Government/Top Secret,"Falcon Eye 2 is a high-resolution Earth-imaging satellite for the United Arab Emirates. Built by Airbus Defense and Space with an optical imaging payload from Thales Alenia Space, Falcon Eye is the second of two surveillance satellites ordered by the UAEâ€™s military."
Soyuz 2.1b/Fregat | Glonass-K1,2020-10-17 00:00:00+00:00,2020-10-17T00:00:00Z,2020-10-17T00:00:00Z,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Soyuz 2.1b/Fregat | Glonass-K1,2020-10-17 00:00:00+00:00,2020-10-17T00:00:00Z,2020-10-17T00:00:00Z,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Soyuz 2.1b/Fregat | Glonass-K1,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Soyuz 2.1b/Fregat | Glonass-K1,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Falcon 9 Block 5 | SpX USCV-1 (NASA Crew Flight 1),2020-10-23 00:00:00+00:00,2020-10-23T00:00:00Z,2020-10-23T00:00:00Z,SpX USCV-1 (NASA Crew Flight 1),Launch Complex 39A,"Kennedy Space Center, FL, USA",LEO,TBD,Human Exploration,SpaceX's first operational flight of manned Dragon 2 vehicle.
Falcon 9 Block 5 | Dragon CRS-2 SpX-21,2020-10-30 00:00:00+00:00,2020-10-30T00:00:00Z,2020-10-30T00:00:00Z,,Launch Complex 39A,"Kennedy Space Center, FL, USA",,TBD,,no information
LauncherOne | Launch Demo 2,2020-11-01 00:00:00+00:00,2020-11-01T00:00:00Z,2020-11-01T00:00:00Z,,Mojave Air and Space Port,Air launch to orbit,,TBD,,no information
Falcon 9 Block 5 | Sentinel-6 Michael Freilich,2020-11-01 00:00:00+00:00,2020-11-01T00:00:00Z,2020-11-01T00:00:00Z,Sentinel-6A (Jason-CS),Space Launch Complex 4E,"Vandenberg AFB, CA, USA",LEO,TBD,Earth Science,"The Sentinel-6A mission, also known as Jason Continuity of Service (Jason-CS), is a partnership between NASA, NOAA, ESA, and EUMETSAT. This mission consists of two parts: the first one continues the long-term global sea surface height data record begun by first Jason satellites in 1992. This part of the mission will provide altimeter data necessary for ocean climate monitoring, ocean modelling and numerical ocean prediction, weather forecasting, marine meteorology, coastal altimetry and modelling. A secondary objective of the mission is to collect high-resolution vertical profiles of temperature, using the Global Navigation Satellite System (GNSS) Radio-Occultation sounding technique, to assess temperature changes in the troposphere and stratosphere and to support numerical weather prediction.
Sentinel-6A is to operate in a highly-inclined circular orbit at an altitude of 1336 km, with an operational mission lasting 5 years."
Soyuz 2.1b/Fregat-M | OneWeb 8,2020-11-01 00:00:00+00:00,2020-11-01T00:00:00Z,2020-11-01T00:00:00Z,,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",,TBD,,no information
Angara A5/Briz-M | Dummy payload,2020-11-03 00:00:00+00:00,2020-11-03T00:00:00Z,2020-11-03T00:00:00Z,,35/1,"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Soyuz STA/Fregat | CSO 2,2020-11-06 00:00:00+00:00,2020-11-06T00:00:00Z,2020-11-06T00:00:00Z,CSO 2,Soyuz Launch Complex,"Kourou, French Guiana",SSO,TBD,Government/Top Secret,"The CSO 2 (Composante Spatiale Optique 2) satellite is the second of three new-generation high-resolution optical imaging satellites for the French military, replacing the Helios 2 spy satellite series."
Long March 5  | Chang'e 5,2020-11-24 00:00:00+00:00,2020-11-24T00:00:00Z,2020-11-24T00:00:00Z,Chang'e 5,Wenchang,"Wenchang Satellite Launch Center, People's Republic of China",LO,TBD,Robotic Exploration,"Chang'e 5 is China's robotic sample return mission, which is set to bring back at lest 2 kg of lunar soils and rock samples. The probe will perform a soft landing on the Moon, then rendezvous and dock with the return module in lunar orbit and fly back to the Earth."
GSLV Mk II | GSAT-7C,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Satish Dhawan Space Centre Second Launch Pad,"Sriharikota, Republic of India",,TBD,,no information
GSLV Mk II | GSAT-32,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Satish Dhawan Space Centre Second Launch Pad,"Sriharikota, Republic of India",,TBD,,no information
H-III 30 | ALOS-3 (Maiden flight),2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Unknown Pad,"Tanegashima, Japan",,TBD,,no information
GSLV Mk II | GISAT-2,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Satish Dhawan Space Centre Second Launch Pad,"Sriharikota, Republic of India",,TBD,,no information
Soyuz 2.1b/Fregat-M | OneWeb 6,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",,TBD,,no information
Angara A5/Persey | Ekspress AMU,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,35/1,"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Ariane 5 ECA | Star One D2 & unknown,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
Ariane 5 ECA | Unknown satellite for Intelsat,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
Terran 1 | Test Flight,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,Test Flight,Space Launch Complex 16,"Cape Canaveral, FL, USA",,TBD,Test Flight,Maiden launch of the Terran 1 rocket developed by Relativity Space.
Soyuz 2.1b/Fregat-M | OneWeb 4,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",,TBD,,no information
PSLV  | RISAT-2A,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,RISAT-2A,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",LEO,TBD,Government/Top Secret,RISAT-2A is the third in the series of radar imaging RISAT satellites. The satellite carries a sophisticated synthetic aperture radar that operates at 5.35 GHz in C band.
GSLV Mk II | GISAT-1,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,GISAT-1,Satish Dhawan Space Centre Second Launch Pad,"Sriharikota, Republic of India",GTO,TBD,Earth Science,"GISAT-1 is an Indian earth observation satellite to be launched in geostationary orbit. It is tasked with continuous observation of Indian sub-continent and quick monitoring of natural hazards and disaster. GISAT carries an imaging payload consisting of of multi-spectral, multi-resolution from 50 m to 1.5 km. It will provide pictures of the area of interest on near real time basis including border areas."
PSLV-XL | GSAT-12R,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,GSAT-12R,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",,TBD,Communications,GSAT-12R is an Indian telecommunications satellite.
SSLV  | Demo 1,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,SSLV Demo 1,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",LEO,TBD,Test Flight,First test flight of Indian SSLV (Small Satellite Launch Vehicle).
Falcon 9 Block 5 | Spaceflight GTO-2,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
PSLV  | RISAT-1A,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",,TBD,,no information
Soyuz 2.1b/Fregat-M | OneWeb 5,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
PSLV  | Oceansat-3,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,Oceansat-3,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",SSO,TBD,Earth Science,"Oceansat-3 is a part of ISRO's Oceansat program. Its main purpose is ocean observation, which includes gathering ocean color data, sea surface temperature measurements and wind vector data."
PSLV-CA | RISAT-2BR2,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,RISAT-2BR2,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",,TBD,Earth Science,Satellite imaging mission of ISRO using an active SAR (Synthetic Aperture Radar) imager to provide continuity of service for RISAT-2.
SSLV  | Demo 2 (4 x BlackSky Global satellites),2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,SSLV Demo 2,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",LEO,TBD,Test Flight,Second test flight of Indian SSLV (Small Satellite Launch Vehicle).
Zhuque-2 | Maiden Flight,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,Maiden Flight,Unknown Pad,"Jiuquan, People's Republic of China",,TBD,Test Flight,First flight of the new methalox rocket developed by Chinese startup LandSpace.
GSLV Mk III | GSAT-20,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,GSAT-20,Satish Dhawan Space Centre Second Launch Pad,"Sriharikota, Republic of India",GTO,TBD,Communications,"GSAT-20 is an Indian geostationary Ka-band high-throughput communications satellite.
GSAT 20 is reportedly built on the I-6K unified modular bus and features a Ka-band high-throughput communications payload with 70 Gbps throughput utilizing multiple spot beams providing broadband services across the Indian region.
It will be the first fully Electric Propulsion/EP enabled satellite which can be five to six times more efficient than chemical-based propulsion. It will be the first ISRO made satellite to move from Geostationary transfer orbit to Geosynchronous orbit using Electric Propulsion."
Ariane 5 ECA | Unknown & Eutelsat Quantum,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
GSLV | IDRSS-1,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Satish Dhawan Space Centre Second Launch Pad,"Sriharikota, Republic of India",,TBD,,no information
Vega | Ingenio (SEOSat) & Taranis,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,Ingenio (SEOSat),Ariane Launch Area 1,"Kourou, French Guiana",SSO,TBD,Earth Science,"Spanish optical Earth-observation satellite. The mission is devoted to providing high resolution multispectral land optical images to different Spanish civil, institutional and government users."
Falcon 9 Block 5 | Sirius SXM-8,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,SXM-8,Unknown Pad,Unknown Location,,TBD,Communications,"SXM-8 is a large high power broadcasting satellite for SiriusXM's digital audio radio service (DARS).
Space Systems/Loral (SS/L) got in July 2016 the contract to build the two satellites based on their SSL-1300 bus - SXM-7 and SXM-8. Both operate in the S-band spectrum. Each satellite will generate more than 20-kW of power and will have a large unfurlable antenna reflector, which enables broadcast to radios without the need for large dish-type antennas on the ground.
SXM-8 is meant to replace the XM-4 satellite."
Electron | Whitney 1,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Rocket Lab Launch Complex 1A,"Onenui Station, Mahia Peninsula, New Zealand",,TBD,,no information
Falcon 9 Block 5 | Dedicated SSO Rideshare Mission 1,2020-12-01 00:00:00+00:00,2020-12-01T00:00:00Z,2020-12-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
Soyuz 2.1b/Fregat-M | Arktika-M No.1,2020-12-09 00:00:00+00:00,2020-12-09T00:00:00Z,2020-12-09T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Soyuz 2.1a | Progress MS-16 (77P),2020-12-11 00:00:00+00:00,2020-12-11T00:00:00Z,2020-12-11T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Ariane 5 ECA | Measat-3d,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
LauncherOne | Ignis & others,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Guam International Airport,Air launch to orbit,,TBD,,no information
Soyuz 2.1a/Fregat-M | CAS500-2 & rideshare,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Angara A5/Briz-M | Unknown military payload,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,35/1,"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
"Soyuz 2.1b/Fregat-M | Gonets-M30, Gonets-M31, Gonets-M32",2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Falcon 9 Block 5 | GPS III SV05,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Vega | CERES,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Falcon 9 Block 5 | Türksat 5B,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Unknown Pad,Unknown Location,,TBD,,no information
Soyuz STB/Fregat | METOP-SG A1,2021-01-01 00:00:00+00:00,2023-12-30T00:00:00Z,2021-01-01T00:00:00Z,,Soyuz Launch Complex,"Kourou, French Guiana",,TBD,,no information
LauncherOne | STP-27VP,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Andersen Air Force Base,Air launch to orbit,,TBD,,no information
GSLV | IDRSS-2,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Satish Dhawan Space Centre Second Launch Pad,"Sriharikota, Republic of India",,TBD,,no information
Soyuz STB/Fregat | METOP-SG B1,2021-01-01 00:00:00+00:00,2023-12-31T00:00:00Z,2021-01-01T00:00:00Z,,Soyuz Launch Complex,"Kourou, French Guiana",,TBD,,no information
Vega-C | CSG-2,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,CSG-2,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,Earth Science,"CSG-2 is an Earth observation satellite for Italian Space Agency, a part of the two-satellite constellation for reconnaissance purposes."
H-IIA | XARM & SLIM,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,XARM & SLIM,Unknown Pad,"Tanegashima, Japan",LO,TBD,Astrophysics,"X-Ray Astronomy Recovery Mission (XARM) is a replacement for the Hitomi satellite that malfunctioned few weeks after the launch.
Smart Lander for Investigating Moon (SLIM) is a lunar probe that will target a landing on a small crater in Mare Nectaris, an area located near the moonâ€™s equator on the side facing Earth."
Falcon 9 Block 5 | NROL-87,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Falcon 9 Block 5 | NROL-85,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Vega-C | 2 x Pléiades Neo,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Vega-C | 2 x Pléiades Neo,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Vega-C | 2 x Pléiades Neo,2021-06-01 00:00:00+00:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Vega-C | 2 x Pléiades Neo,2021-06-01 00:00:00+00:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Atlas V 551 | ViaSat-3 series satellite,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Falcon 9 Block 5 | WorldView Legion 2,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
Long March 3B | Fengyun-4B,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,Fengyun-4B,Unknown,"Xichang Satellite Launch Center, People's Republic of China",,TBD,Earth Science,China's geostationary meteorological satellite program FY-4 (Feng Yun 4) is the second generation of chinese geostationary meteorological satellites.
Long March 2F | Shenzhou 12,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Launch Area 4 (SLS-1 / 921),"Jiuquan, People's Republic of China",,TBD,,no information
Falcon 9 Block 5 | WorldView Legion 1,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
LauncherOne | VCLS ELaNa XX,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,VCLS ELaNa XX,Mojave Air and Space Port,Air launch to orbit,PO,TBD,Dedicated Rideshare,NASA's signed a Venture Class Launch Services contract with Virgin Orbit to launch 13 cubesats into polar orbit.
Long March 4C | Fengyun-3E,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Unknown Pad,"Taiyuan, People's Republic of China",,TBD,,no information
Falcon 9 Block 5 | O3b mPower 1-3,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
