	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCION	FECHA_APROBACION	NOMBRES_ANTERIORES	DISTRICTOS
32	3508	Ctra	Carretera de les Aigües	Ctra Aigües	Construida por la Compañía de Aguas de Barcelona. Destinada a conducir las aguas desde el depósito de Sant Pere Màrtir hasta la subcentral del Tibidabo.	01/11/1909 ( )	Aguas	LES CORTS (04) SARRIÀ-SANT GERVASI (05) GRÀCIA (06) HORTA-GUINARDÓ (07)
33	3552	Camí	Camí de les Aigües	Camí Aigües	Conduce a la Carretera de les Aigües.	10/10/1990 ( )		SARRIÀ-SANT GERVASI (05)
34	3600	C	Carrer dels Agudells	Agudells	Nombre de la cordillera, al este de Collserola. Antiguo topónimo, <i>Acutellos</i> o <i>montanea d'Agudellos</i>, citado como uno de los límites de cierta propiedad que dieron en hipoteca a Adabert, hijo de El·lesindo, los esposos Bernat y Guilla como garantía de la deuda de seis onzas que aquél les había prestado (año 1046).	05/09/1907 ( )	Santa Amàlia; Ra. del Carmelo	HORTA-GUINARDÓ (07)
35	3701	C	Carrer de les Agudes	Agudes	Una de las cumbres del Montseny (1706 m).	28/04/1965 ( )		NOU BARRIS (08)
36	3803	C	Carrer de l'Àliga	Àliga	Debe su nombre al águila, el ave. El águila coronada fue el símbolo de la ciudad. En la edad media salía, tradicionalmente, por las fiestas del Corpus y bailaba frente a la gente, hasta que un obispo de la ciudad, hacia el año 1573, la prohibió.	 (Antes de 1900)	Águila	SANTS-MONTJUÏC (03)
37	3905	C	Carrer d'Aguilar	Aguilar	En el año 1912 se aprobó la urbanización de la finca Casa Pujol, propiedad de Maria Montserrat de Casanovas i de Fargas, y se puso el nombre de Águila a la calle proyectada, situada en el punto más alto de la colina que dominaba la urbanización. Posteriormente, en el año 1929, por duplicidad con una calle de Hostafrancs, se decidió cambiar el nombre por Aguilar, por semblanza con el anterior, justificándolo por ser un título del marqués de Monistrol. Como éste no tenía ninguna relación directa con los terrenos, en 1980 se dedicó la calle a Josep d'Aguilar i d'Alòs (siglos XVII-XVIII), político y militar que participó en la defensa de Barcelona (1705, 1706 y 1714).	19/11/1929 ( )	Águila	HORTA-GUINARDÓ (07)
38	4001	C	Carrer d'Agullana	Agullana	Debe su nombre a Agullana, municipio del Alt Empordà. Calle situada en el grupo de casas Ramon Albó, en el que todas las calles están dedicadas a pueblos de Cataluña.	29/05/1945 ( )		NOU BARRIS (08)
39	4103	C	Carrer dels Agullers	Agullers	Estaban allí establecidos los menestrales fabricantes de agujas y utensilios para la pesca. Sus primeras ordenanzas, una vez independizados del gremio que comprendía -con los agujeteros, los cerrajeros y los armeros- datan del año 1786. El nombre de la calle es anterior a 1778.		Mar y Cielo (s'hi uneixen), 1927; Ancha (s'hi afegeix), 1927	CIUTAT VELLA (01)
40	4125	C	Carrer d'Agustí Duran i Sanpere	A Duran i Sanpere	Agustí Duran i Sanpere (Cervera, Segarra 1887 - Barcelona 1975). Historiador, archivero y arqueólogo. Licenciado en Letras y doctor en Derecho. Desde 1912 colaboró con el Servicio de Investigaciones Arqueológicas. En 1917 se incorporó y organizó el Archivo Municipal, la Oficina de Investigaciones y Publicaciones y el Archivo Histórico de la Ciudad. Dirigió hasta 1957 el Instituto de Historia de Barcelona. Miembro de la Academia de Buenas Letras (1924) -que presidió entre 1961 y 1963-, del Instituto de Estudios Catalanes (1942) y de la Academia de Bellas Artes de San Jorge (1968). Fue el organizador del Museo Etnológico de Cervera.	22/05/1978 ( )	10/12/1997 (canvi d'emplaçament)	CIUTAT VELLA (01)
41	4205	C	Carrer d'Agustí i Milà	Agustí i Milà	Jaume Agustí i Milà (Sant Andreu de Palomar 1817 ? - 1905). Doctor en Teología y Jurisprudencia, bachiller en Filosofía y Letras. Alcanzó altos cargos en Puerto Rico. Retirado a su lugar natal después del desastre colonial, contribuyó a la restauración de la iglesia de Sant Andreu, que se había derribado por defectos de construcción.	05/09/1907 ( )	Asil; Sant Isidre; Santa Anna, abans de 1900	SANT ANDREU (09)
42	4307	C	Carrer d'Agustina Saragossa	Agustina Saragossa	Agustina Raimunda Maria Saragossa i Domènec (Barcelona 4 de marzo de 1786 - Ceuta 29 de mayo de 1857). Héroe de la Guerra de la Independencia. Nació en la placeta de Montcada y fue bautizada en Santa María del Mar. Hija de Pere Joan Saragossa y de Raimunda Domènec.	19/08/1947 ( )	Agustína Zaragoza; Soler i Rebollar, 1933; Agustína Zaragoza, 1929; Núm. 20 de les Corts, 1925	LES CORTS (04)
43	4409	C	Carrer d'Aiguablava	Aiguablava	Cala de la Costa Brava, situada en el municipio de Begur (Baix Empordà). Dominada en poniente por la montaña de Ses Falugues. Calle situada en la barriada de Trinitat Nova junto con otras dedicadas a lugares de la Costa Brava.	30/12/1953 ( )	Núm. 8	NOU BARRIS (08)
44	4500	C	Carrer d'Aiguafreda	Aiguafreda	Debe su nombre a Aiguafreda, municipio del Vallès Oriental.	11/03/1915 ( )	Méjico, 1908; Recaredo, 1907; Ra. de San Agustín	HORTA-GUINARDÓ (07)
45	4602	C	Carrer d'Aigüesmortes	Aigüesmortes	Debe su nombre a Aigüesmortes, ciudad del Languedoc, departamento del Gard, famosa por las murallas y por la torre de Constanza.	27/07/1960 ( )		SANT MARTÍ (10)
46	4908	C	Carrer d'Àlaba	Àlaba	Debe su nombre a Álava, región del País Vasco.	07/07/1942 ( )	Álava; Igualdad (de pl. Glòries cap amunt); Núm. 44 (Pla Cerdà)	SANT MARTÍ (10)
47	5004	C	Carrer de l'Alba	Alba	"Debió ponerse el nombre por similitud con el que tenía antes una calle de Barcelona, cuando la villa de Gràcia formaba ayuntamiento aparte. El nombre ""Alba de Barcelona"" fue cambiado por ""Este"". Alba de Gràcia lo ha sustituido y se ha mantenido como el único en el nomenclátor de la ciudad."	 (Antes de 1900)		GRÀCIA (06)
48	5106	C	Carrer d'Albacete	Albacete	Debe su nombre a Albacete, ciudad de Castilla-La Mancha, capital de una de las dos provincias en que se encuentra partido el antiguo reino de Murcia.	 (Antes de 1920)	Pje. Montserrat, abans de 1900	GRÀCIA (06)
49	5208	C	Carrer d'Albània	Albània	Debe su nombre al estado de Albania, de la península Balcánica.	27/07/1960 ( )		SANT MARTÍ (10)
50	5401	C	Carrer d'Albareda	Albareda	Calle originariamente dedicada a Francesc Albareda i Gibert (? - Martorell, Baix Llobregat 1875). Propietario de una mujada de tierra en el lugar. Posteriormente fue dedicada a Leandre Albareda i Petit (1852 - 1912). Proyectista del Cementerio Nuevo, grandiosa necrópolis de Montjuïc inaugurada por Rius i Taulet en 1883.			SANTS-MONTJUÏC (03)
51	5503	C	Carrer d'Ourense	Ourense		23/10/2006 ( )	Albarrasí, 12/06/1980; Albarracín, 28/01/1959	HORTA-GUINARDÓ (07)
52	5707	C	Carrer d'Albert Llanas	Albert Llanas	Albert de Sicilia Llanas i Castells (Barcelona 1841 - 1915). Autor teatral, figura representativa de la bohemia del fin de siglo. Publicó diversas comedias de costumbres de gran éxito. Adaptó al catalán obras de Moratín, Calderón de la Barca y Shakespeare. Fue titular de la Cooperativa de Periodistas que construyó la agrupación urbana donde se encuentra esta calle.	21/12/1921 ( )		HORTA-GUINARDÓ (07)
53	5809	Ptge	Passatge d'Albert Pinyol	Ptge Albert Pinyol	Albert Pinyol i Domingo (Valls, Alt Camp 1841 - Barcelona 1919). Jardinero y propietario de los terrenos en los que se abrió el pasaje. Adquirió los terrenos, una mitad por compra a Mercè Saladrigas y la otra mitad por herencia de su mujer Teresa Jorba i Mateu. Los terrenos habían formado parte de la heredad de Corts, del monasterio de religiosas Jerónimas. Dedicado en su memoria por sus hijos Albert e Ignasi.		Alberto Piñol	LES CORTS (04)
54	6109	C	Carrer dels Albigesos	Albigesos	Se refiere a la secta religiosa que a mediados de siglo XII se inició en Albí y después de ser condenada en los concilios Laterano y de la misma ciudad de Albí, instigó guerras en el sur de Francia. Defendiendo la causa de los pueblos del sur y en lucha contra Simón de Montfort, murió el rey de Aragón Pedro el Católico, en la batalla de Muret (1213).	05/09/1907 ( )	Mina, abans de 1900	GRÀCIA (06)
55	6302	C	Carrer d'Alcalá de Guadaira	Alcalá de Guadaira	Fortaleza (hoy ciudad) de la provincia de Sevilla, conquistada por Fernando III de Castilla a mediados de siglo XIII. Su castillo sirvió de prisión a importantes personajes. El nombre fue dado a la calle en el año 1925 como agradecimiento al hecho de que la ciudad de Alcalá de Guadaira dio el nombre de Barcelona a una de sus calles.	07/07/1942 ( )	Doctor Rizal, 04/02/1931; Alcalá de Guadaira, 13/01/1925; Dr. Rizal; Carmen	SANT MARTÍ (10)
56	6404	Pl	Plaça de l'Alcalde Baró de Viver	Pl Alc Baró Viver	Darius Rumeu i Freixa (Barcelona 1886 - 1970). Segundo barón de Viver, grande de España, político y financiero. Líder de los monárquicos liberales catalanes. Alcalde de Barcelona (1925-1929). Nombre dado a esta plaza a petición de los concejales, aunque la petición concretaba que fuera sustituido el nombre de la calle de Balmes por el nombre del barón (desde la Diagonal hasta el paseo de Sant Gervasi) porque era una vía ganada con el esfuerzo personal de aquel alcalde que consiguió convertir en subterránea la vía del ferrocarril. El nombre fue dado a la plaza porque también la urbanización del final de la Diagonal fue concebida por el barón de Viver.	19/01/1943 ( )	Alcalde Barón de Viver	LES CORTS (04)
57	6506	C	Carrer de l'Alcalde Miralles	Alcalde Miralles	Ramon Miralles i Vilalta (Sarrià 1841 - 1909). Alcalde de la villa de Sarrià, de 1878 a 1902. Nombrado hijo adoptivo de Sarrià porque consiguió la independencia administrativa con respecto a Barcelona. Creó lo que hoy es el Consejo del Distrito, donde se formó el Archivo Municipal. Propietario de Vil·la Joana, la puso a disposición de Mosén Jacint Verdaguer para que se curara de su enfermedad, cosa que no fue posible.	25/01/1952 ( )	Miralles, 1902; Agregació (Vallvidrera), 1890	SARRIÀ-SANT GERVASI (05)
58	6608	C	Carrer de l'Alcalde de Móstoles	Alcalde Móstoles	Andrés Torrejón (Móstoles, Madrid 1736 - 1812). Siendo un modesto payés fue elegido alcalde junto con Simón Hernández. Al llegar las noticias del 2 de mayo de 1808, el fiscal del Consejo de Guerra, Juan Pérez Villamil, que se encontraba entonces en Móstoles, redactó una proclama incitando al pueblo a levantarse en armas para ir a socorrer a Madrid. Los dos alcaldes firmaron el bando, que se extendió muy pronto por Extremadura y Andalucía.	07/07/1942 ( )	José Nonell, 1935; Marina (tram sobre les casernes de Girona)	HORTA-GUINARDÓ (07)
59	6801	C	Carrer de l'Alcalde de Zalamea	Alcalde de Zalamea	La obra de Calderón de la Barca.	28/01/1959 ( )	Camí del Portell	HORTA-GUINARDÓ (07)
60	7000	C	Carrer d'Alcamo	Alcamo	Debe su nombre a Alcamo, ciudad de Italia, provincia de Trapani (Sicilia). En el Plan parcial del sudeste del Besòs se proyectaron un grupo de calles con nombres de ciudades italianas.	27/07/1960 ( )		SANT MARTÍ (10)
61	7101	C	Carrer d'Alcanar	Alcanar	Debe su nombre a Alcanar, municipio del Montsià. El pueblo situado más al sur del principado de Cataluña.		San Rafael, abans de 1865	CIUTAT VELLA (01)
62	7203	C	Carrer d'Alcántara	Alcántara	Batalla de Alcántara. Batalla ganada por el duque de Alba contra los portugueses el 25 de agosto de 1580 y que le abrió las puertas de Lisboa. Una consecuencia de esta batalla fue la incorporación de Portugal a la corona de España, unión que subsistió hasta el año 1640. El expediente 1085/55 de nomenclatura de las calles del barrio de Roquetes no contiene la proveniencia de los nombres. No obstante, hay que deducir que Alcántara corresponde a dicha batalla, dado que en el mismo expediente figuran Almansa, Garigliano -también hechos de armas importantes- y conquistadores castellanos como Alvarado, Almagro, Ojeda y Quesada, esto aparte del Cuartel de Simancas, archivo general histórico-militar del Estado.	31/10/1955 ( )	Danubio	NOU BARRIS (08)
63	7258	C	Carrer de Martí i Franquès	Martí i Franquès	Antoni de Martí i Franquès (Altafulla, Tarragonès 1750 - Tarragona 1832). Científico. Noble de la casa solariega de Ardenya, en Altafulla. Miembro de la Academia de Ciencias Naturales y Artes de Barcelona (1786). El Instituto de Estudios Catalanes instituyó un premio que lleva su nombre.	28/07/1982 ( )	La Alcàrria	LES CORTS (04)
64	7305	Av	Avinguda de l'Exèrcit	Av Exèrcit	Homenaje a las fuerzas armadas.	20/12/1979 ( )	C. del Alcázar de Toledo	LES CORTS (04)
65	7407	C	Carrer d'Alcolea	Alcolea	Alcolea (Córdoba). Batalla del 29 de septiembre de 1868. El general Serrano, duque de la Torre, derrotó a las fuerzas del general Pavia, marqués de Novaliches. La victoria determinó el triunfo de la revolución y el fin del reinado de Isabel II. El nombre fue puesto en plena época de la Revolución de 1868.	 (Antes de 1900)		SANTS-MONTJUÏC (03)
66	7509	C	Carrer d'Alcoi	Alcoi	Debe su nombre a Alcoy, municipio de L'Alcoià.	05/09/1907 ( )	Alcoy; San Lorenzo, abans de 1887	SARRIÀ-SANT GERVASI (05)
67	7600	C	Carrer d'Alcúdia	Alcúdia	Debe su nombre a Alcúdia, municipio de Mallorca septentrional. Pertenece a un grupo de calles con nombres de ciudades de las Baleares.	28/07/1950 ( )		NOU BARRIS (08)
68	7702	C	Carrer d'Aldana	Aldana	Joan Aldana (Tortosa, Baix Ebre siglos XV-XVI). Militar al servicio de Fernando II de Cataluña-Aragón y de Carlos V. En Pavia (1525), hizo personalmente prisionero al rey de Francia Francisco I. Calle incluida en la propuesta de Víctor Balaguer de 25 de octubre de 1863, con la nomenclatura de las calles del Eixample encargada a Balaguer por el Ayuntamiento.	04/04/1865 ( )		EIXAMPLE (02)
69	7804	C	Carrer de l'Aldea	Aldea	Antigua pedanía de Aldea, integrada en Tortosa hasta 1983. Su significado es <i>aldea</i> o pequeña población dependiente de otra. Esta calle se encuentra situada en los terrenos de la antigua heredad Can Móra. Fue aprobada junto con el nombre de Móra la Nova, haciendo conjunto con la calle Móra d'Ebre de la misma zona urbana.	28/01/1959 ( )	Lletra B (urb. Casa Mora, Districte de Gràcia)	GRÀCIA (06)
70	7906	C	Carrer de Ca l'Alegre de Dalt	Ca l'Alegre Dalt	El nombre de la casa solariega (siglo XVIII).			GRÀCIA (06)
71	8079	C	Carrer de la Malva	Malva	Debe su nombre a la malva, la planta. Forma parte de un conjunto de calles con nombres de árboles y plantas.	10/04/1981 ( )	Alexandre Magne	SARRIÀ-SANT GERVASI (05)
72	8104	C	Carrer d'Alexandre de Torrelles	A de Torrelles	Barcelonés que luchó en Lepanto (1571) bajo las órdenes de Lluís de Requesens. Comandante de división naval, capturó la galera que conducía a los hijos del Gran Almirante turco.	10/12/1929 ( )	Alejandro Torrellas; Núm. 1 B (Casa Baró)	HORTA-GUINARDÓ (07)
73	8206	C	Carrer d'Alella	Alella	Debe su nombre a Alella, municipio del Maresme. Marquesado concedido a Camil Fabra, que fue alcalde de Barcelona en 1893.	25/04/1945 ( )		NOU BARRIS (08)
74	8308	C	Carrer de l'Alfambra	Alfambra	"Debe su nombre al Alfambra, río afluente del Turia, del mismo nombre que el de un pueblecito situado a 23 km de Teruel. El nombre se dio a la calle en el año 1943, conjuntamente con otros nombres de hechos de armas de la Guerra Civil del 1936-1939 (Belchite, Brunete, etc.), ""para rememorar epopeyas y memorables combates"". La batalla de Alfambra (5 de febrero de 1938), a cargo de las fuerzas comandadas por los generales Dávila y Monasterio, consiguió hacer cambiar de signo la batalla de Teruel, ciudad que había sido ocupada por el ejército republicano a finales de 1937 y permitió su reconquista por el ejército denominado nacional."	28/07/1950 ( )		LES CORTS (04)
75	8400	C	Carrer d'Alfarràs	Alfarràs	Debe su nombre a Alfarràs, municipio del Segrià. Calle situada en el polígono Milans del Bosch, donde todas las calles están dedicadas a pueblos de Cataluña.	29/05/1945 ( )	Núm. 26	SANT ANDREU (09)
