name,ISIN,Ticker,Fund CCY,Fund size [M],TER in % p.a.,1Y in %,3Y in %,5Y in %,2020 in %,2019 in %,2018 in %,2017 in %
Amundi Euro Corporate 0-1Y ESG UCITS ETF DR (C),LU2300294316,-,EUR,-,0.08%,-,-,-,-,-,-,-
Amundi Euro Corporate Financials iBoxx UCITS ETF EUR (C),LU1681040066,AFIN,EUR,117,0.16%,7.17%,5.70%,8.45%,2.28%,4.64%,-1.32%,1.82
Amundi Euro Corporates UCITS ETF EUR (C),LU1681039647,CC4,EUR,815,0.16%,9.02%,6.43%,8.45%,2.66%,5.26%,-1.27%,1.40
Amundi Euro High Yield Liquid Bond iBoxx UCITS ETF EUR (C),LU1681040496,AHYE,EUR,386,0.40%,14.46%,11.70%,24.35%,1.21%,9.77%,-2.25%,5.16
Amundi EURO STOXX 50 UCITS ETF EUR (C),LU1681047236,C50,EUR,"2,536",0.15%,42.72%,27.15%,58.45%,-2.94%,31.65%,-13.50%,9.57
Amundi EURO STOXX 50 UCITS ETF EUR (D),LU1681047319,CD5,EUR,84,0.15%,42.79%,27.21%,58.53%,-2.93%,31.65%,-13.51%,9.57
Amundi Europe Equity Multi Smart Allocation Scientific Beta UCITS ETF EUR (C),LU1681039563,SMRE,EUR,6,0.40%,39.95%,21.54%,47.74%,-1.73%,24.40%,-12.01%,15.85
Amundi Floating Rate Euro Corporate 1-3 UCITS ETF EUR (C),LU1681041114,AFRN,EUR,880,0.18%,2.97%,-0.27%,-0.20%,0.07%,0.71%,-1.28%,0.11
Amundi Floating Rate USD Corporate UCITS ETF EUR Hedged,LU1681041031,AFLE,EURHedged,657,0.20%,4.17%,-0.20%,-,0.00%,1.80%,-2.22%,0.48
Amundi Floating Rate USD Corporate UCITS ETF USD (C),LU1681040900,AFLT,USD,440,0.18%,-3.91%,9.68%,6.72%,-7.22%,6.91%,5.34%,-9.94
Amundi FTSE EPRA Europe Real Estate UCITS ETF EUR (C),LU1681039480,EPRE,EUR,34,0.35%,21.15%,10.33%,18.13%,-10.96%,28.41%,-8.54%,12.41
Amundi Government Bond EuroMTS Broad Investment Grade UCITS ETF EUR (C),LU1681046261,CB3,EUR,609,0.14%,3.44%,8.79%,9.60%,4.88%,6.66%,0.69%,0.00
Amundi Government Bond Highest Rated EuroMTS Investment Grade UCITS ETF EUR (C),LU1681046691,AM3A,EUR,252,0.14%,0.98%,6.61%,5.69%,3.83%,4.27%,1.54%,-0.56
Amundi Government Bond Lowest Rated EuroMTS Investment Grade 1-3 UCITS ETF EUR (C),LU1681046345,X13G,EUR,151,0.14%,0.79%,-0.33%,-0.49%,0.01%,0.35%,-0.38%,-0.34
Amundi Government Bond Lowest Rated EuroMTS Investment Grade UCITS ETF EUR (C),LU1681046774,X1G,EUR,988,0.14%,5.36%,10.80%,13.53%,5.62%,8.76%,0.26%,0.51
Amundi Index Barclays Euro Aggregate Corporate UCITS ETF DR EUR (D),LU1737653987,DECR,EUR,55,0.16%,8.46%,7.07%,-,2.46%,5.84%,-,-
Amundi Index Barclays Global Aggregate 500M UCITS ETF DR EUR (D),LU1737654019,10AM,EUR,4,0.10%,-3.73%,12.83%,-,0.27%,8.75%,-,-
Amundi Index Breakeven Inflation Usd 10y UCITS ETF DR (C),LU2037750168,BINFU,USD,158,0.16%,2.12%,-,-,-6.52%,-,-,-
Amundi Index Equity Global Multi Smart Allocation Scientific Beta UCITS ETF DR EUR (C),LU1602145119,SMRT,EUR,46,0.40%,31.45%,32.11%,-,-2.51%,27.62%,-,-
Amundi Index Euro Corporate SRI 0-3 Y UCITS ETF DR (C),LU2037748774,ECRP3,EUR,479,0.12%,2.91%,-,-,0.50%,-,-,-
Amundi Index FTSE EPRA NAREIT Global UCITS ETF DR EUR (D),LU1737652823,10AJ,EUR,41,0.24%,22.24%,22.55%,-,-16.52%,24.19%,-,-
Amundi Index J.P. Morgan EMU Government Investment Grade UCITS ETF DR EUR (D),LU1737653714,10AL,EUR,2,0.14%,3.45%,9.09%,-,5.05%,6.79%,-,-
Amundi Index J.P. Morgan GBI Global Government UCITS ETF DR EUR (D),LU1737653631,10AK,EUR,15,0.20%,-6.98%,10.81%,-,0.46%,7.78%,-,-
Amundi Index MSCI Emerging Markets SRI UCITS DR ETF (C),LU1861138961,EMSRI,USD,463,0.25%,50.71%,-,-,7.56%,-,-,-
Amundi Index MSCI Emerging Markets UCITS ETF DR EUR (D),LU1737652583,AEMD,EUR,404,0.20%,42.76%,25.90%,-,8.19%,20.60%,-,-
Amundi Index MSCI EMU SRI UCITS ETF DR (C),LU2109787635,SRHE,EUR,59,0.18%,-,-,-,-,-,-,-
Amundi Index MSCI EMU UCITS ETF DR EUR (C),LU1602144575,CMU,EUR,"1,389",0.25%,42.26%,22.43%,-,-1.39%,28.63%,-11.84%,-
Amundi Index MSCI Europe SRI UCITS ETF DR (C),LU1861137484,EUSRI,EUR,"1,661",0.18%,34.72%,-,-,2.54%,32.89%,-,-
Amundi Index MSCI Europe UCITS ETF DR EUR (D),LU1737652310,10AI,EUR,126,0.15%,35.40%,24.86%,-,-3.16%,29.48%,-,-
Amundi Index MSCI Global Climate Change UCITS ETF DR EUR (C),LU1602144229,LWCR,EUR,366,0.25%,39.86%,54.31%,-,8.01%,31.30%,-2.63%,-
Amundi Index MSCI Japan SRI UCITS ETF DR (C),LU2233156749,JARI,JPY,40,0.18%,-,-,-,-,-,-,-
Amundi Index MSCI Japan SRI UCITS ETF DR Hedged EUR (C),LU2269164310,JARH,EURHedged,8,0.20%,-,-,-,-,-,-,-
Amundi Index MSCI Japan UCITS ETF DR EUR (C),LU1602144732,CJ1,EUR,359,0.45%,26.84%,24.38%,-,4.59%,22.12%,-3.93%,-
Amundi Index MSCI North America UCITS ETF DR EUR (D),LU1737653045,DNRA,EUR,8,0.15%,40.41%,69.56%,-,10.05%,34.08%,-,-
Amundi Index MSCI Pacific ex Japan SRI UCITS ETF DR EUR (C),LU1602144906,CP9,EUR,178,0.45%,30.06%,20.42%,-,-5.16%,20.49%,-,-
Amundi Index MSCI USA SRI UCITS ETF DR (C),LU1861136247,USRI,EUR,"2,799",0.18%,38.48%,-,-,13.10%,35.37%,-,-
Amundi Index MSCI World SRI UCITS ETF DR (C),LU1861134382,WSRI,EUR,"1,137",0.18%,35.67%,-,-,8.99%,32.78%,-,-
Amundi Index MSCI World SRI UCITS ETF DR Hedged EUR (C),LU2249056297,MWSH,EURHedged,67,0.20%,-,-,-,-,-,-,-
Amundi Index MSCI World UCITS ETF DR EUR (D),LU1737652237,10AH,EUR,204,0.18%,38.43%,53.24%,-,6.34%,30.98%,-,-
Amundi Index S&P 500 UCITS ETF DR (C),LU1437017863,S500,EUR,342,0.15%,36.97%,67.40%,-,6.68%,31.85%,0.51%,6.23
Amundi Index US Corporate SRI UCITS ETF DR (C),LU1806495575,UCRP,USD,240,0.16%,-1.03%,-,-,0.14%,16.72%,-,-
Amundi Japan Topix UCITS ETF Daily Hedged EUR (C),LU1681037864,TPXH,EURHedged,611,0.48%,37.57%,15.12%,54.23%,5.41%,16.32%,-17.82%,20.18
Amundi JPX Nikkei 400 UCITS ETF Daily Hedged EUR (C),LU1681039134,JPHE,EURHedged,93,0.18%,38.47%,18.36%,56.49%,7.10%,17.46%,-17.28%,18.96
Amundi JPX Nikkei 400 UCITS ETF EUR (C),LU1681038912,JPNK,EUR,60,0.18%,26.52%,23.04%,56.61%,4.50%,21.57%,-9.57%,9.07
Amundi MSCI Brazil UCITS ETF USD (C),LU1437024992,BRZ,USD,10,0.55%,25.29%,-14.60%,40.32%,-26.58%,27.61%,3.48%,8.28
Amundi MSCI China UCITS ETF EUR (C),LU1681043912,CC1,EUR,63,0.55%,10.94%,1.04%,37.45%,-9.73%,13.30%,-9.02%,12.92
Amundi MSCI Eastern Europe ex Russia UCITS ETF EUR (C),LU1681043755,CE9,EUR,21,0.20%,25.37%,-16.41%,7.11%,-18.56%,1.34%,-6.77%,31.15
Amundi MSCI Emerging ESG Leaders - UCITS ETF DR (C),LU2109787551,SADM,USD,"1,051",0.18%,-,-,-,-,-,-,-
Amundi MSCI Emerging ESG Universal Select UCITS ETF DR (C),LU2109787049,SBIM,USD,17,0.20%,-,-,-,-,-,-,-
Amundi MSCI Emerging Markets Asia UCITS ETF EUR (C),LU1681044480,AASI,EUR,"1,847",0.20%,45.30%,37.10%,91.85%,17.29%,20.85%,-11.64%,24.79
Amundi MSCI Emerging Markets Latin America UCITS ETF EUR (C),LU1681045024,ALAT,EUR,269,0.20%,32.34%,-14.01%,20.46%,-21.48%,18.84%,-2.36%,8.26
Amundi MSCI Emerging Markets UCITS ETF EUR (C),LU1681045370,AEEM,EUR,"2,867",0.20%,42.54%,25.85%,73.15%,8.07%,19.89%,-10.58%,20.23
Amundi MSCI EMU ESG Universal Select - UCITS ETF DR (C),LU2109786827,SBIZ,EUR,22,0.15%,-,-,-,-,-,-,-
Amundi MSCI Europe ESG Leaders Select UCITS ETF DR (C),LU2109787478,SADE,EUR,33,0.15%,-,-,-,-,-,-,-
Amundi MSCI Europe ESG Universal Select UCITS ETF DR (C),LU2109786744,SBIE,EUR,5,0.15%,-,-,-,-,-,-,-
Amundi MSCI Europe High Dividend Factor UCITS ETF EUR (C),LU1681041973,CD9,EUR,54,0.23%,30.90%,21.26%,35.63%,-9.59%,25.98%,-5.18%,4.60
Amundi MSCI Europe Minimum Volatility Factor UCITS ETF EUR (C),LU1681041627,MIVO,EUR,185,0.23%,19.17%,21.57%,32.48%,-4.09%,22.93%,-4.06%,8.89
Amundi MSCI Europe Momentum Factor UCITS ETF EUR (C),LU1681041460,MCEU,EUR,409,0.23%,37.37%,43.81%,-,10.96%,30.04%,-9.84%,10.91
Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),LU1681041890,QCEU,EUR,404,0.23%,32.13%,47.37%,-,5.37%,34.33%,-7.41%,10.32
Amundi MSCI Europe UCITS ETF EUR (C),LU1681042609,CEU,EUR,"2,715",0.15%,35.02%,24.43%,49.42%,-3.24%,26.29%,-10.40%,10.42
Amundi MSCI India UCITS ETF EUR (C),LU1681043086,CI2,EUR,125,0.80%,56.41%,24.67%,55.17%,4.33%,7.75%,-4.20%,20.00
Amundi MSCI Nordic UCITS ETF EUR (C),LU1681044647,CN1,EUR,248,0.25%,52.27%,50.93%,69.57%,16.54%,22.51%,-7.61%,10.32
Amundi MSCI Switzerland UCITS ETF EUR (C),LU1681044720,CSW,EUR,115,0.25%,14.72%,46.39%,57.23%,2.18%,34.44%,-4.80%,7.27
Amundi MSCI USA ESG Leaders Select UCITS ETF DR (C),LU2109787395,SADU,USD,"1,218",0.15%,-,-,-,-,-,-,-
Amundi MSCI USA ESG Leaders Select UCITS ETF DR Hedged EUR (C),LU2153616326,SADH,EURHedged,31,0.17%,-,-,-,-,-,-,-
Amundi MSCI USA ESG Universal Select - UCITS ETF DR (C),LU2109786660,SBIU,USD,3,0.15%,-,-,-,-,-,-,-
Amundi MSCI USA UCITS ETF EUR (C),LU1681042864,CU2,EUR,944,0.28%,40.36%,72.17%,110.85%,10.85%,33.42%,-0.09%,6.67
Amundi MSCI World Climate Paris Aligned PAB UCITS ETF DR - USD (C),LU2182388400,PABW,USD,43,0.25%,-,-,-,-,-,-,-
Amundi MSCI World Energy UCITS ETF EUR (C),LU1681046006,CWE,EUR,70,0.35%,24.02%,-18.00%,-8.28%,-37.49%,12.86%,-11.80%,-8.27
Amundi MSCI World ESG Leaders Select UCITS ETF DR (C),LU2109787122,SADW,USD,124,0.18%,-,-,-,-,-,-,-
Amundi MSCI World ESG Universal Select UCITS ETF DR (C),LU2109786587,SBIW,USD,9,0.18%,-,-,-,-,-,-,-
Amundi MSCI World ex Europe UCITS ETF EUR (C),LU1681045537,CE8,EUR,333,0.35%,38.64%,60.24%,94.62%,8.40%,30.38%,-2.56%,6.29
Amundi MSCI World Financials UCITS ETF EUR (C),LU1681045883,CWF,EUR,156,0.35%,44.86%,23.38%,68.08%,-10.74%,27.75%,-13.04%,7.53
Amundi MSCI World UCITS ETF EUR (C),LU1681043599,CW8,EUR,"1,441",0.38%,38.11%,52.83%,85.48%,6.26%,29.84%,-4.19%,7.44
Amundi Nasdaq 100 UCITS ETF Daily Hedged EUR (C),LU1681038599,NDXH,EURHedged,391,0.35%,65.58%,102.12%,182.68%,46.70%,33.96%,-3.49%,29.63
Amundi Nasdaq 100 UCITS ETF EUR (C),LU1681038243,ANX,EUR,616,0.23%,53.16%,124.03%,204.54%,36.18%,41.39%,4.65%,16.46
Amundi Physical Gold ETC (C),FR0013416716,-,USD,"2,528",0.15%,-2.99%,-,-,13.00%,-,-,-
Amundi Prime Euro Corporates UCITS ETF DR (C),LU2089238625,PRAC,EUR,34,0.05%,8.83%,-,-,-,-,-,-
Amundi Prime Euro Corporates UCITS ETF DR (D),LU1931975079,PR1C,EUR,"1,046",0.05%,9.12%,-,-,2.42%,-,-,-
Amundi Prime Euro Government Bonds 0-1Y UCITS ETF DR (C),LU2233156582,PRAB,EUR,15,0.05%,-,-,-,-,-,-,-
Amundi Prime Euro Govies UCITS ETF DR (C),LU2089238898,PRAR,EUR,122,0.05%,3.44%,-,-,-,-,-,-
Amundi Prime Euro Govies UCITS ETF DR (D),LU1931975152,PR1R,EUR,831,0.05%,3.47%,-,-,4.86%,-,-,-
Amundi Prime Europe UCITS ETF DR (C),LU2089238039,PRAE,EUR,2,0.05%,35.88%,-,-,-,-,-,-
Amundi Prime Europe UCITS ETF DR (D),LU1931974262,PR1E,EUR,12,0.05%,36.28%,-,-,-3.46%,-,-,-
Amundi Prime Eurozone UCITS ETF DR (C),LU2089238112,PRAZ,EUR,20,0.05%,44.36%,-,-,-,-,-,-
Amundi Prime Eurozone UCITS ETF DR (D),LU1931974429,PR1Z,EUR,60,0.05%,44.88%,-,-,-3.86%,-,-,-
Amundi Prime Global Govies UCITS ETF DR (C),LU2089238971,PRAG,EUR,1,0.05%,-5.95%,-,-,-,-,-,-
Amundi Prime Global Govies UCITS ETF DR (D),LU1931975236,PR1G,EUR,21,0.05%,-5.94%,-,-,1.02%,-,-,-
Amundi Prime Global UCITS ETF DR (C),LU2089238203,PRAW,USD,42,0.05%,38.32%,-,-,-,-,-,-
Amundi Prime Global UCITS ETF DR (D),LU1931974692,PR1W,USD,211,0.05%,38.32%,-,-,6.15%,-,-,-
Amundi Prime Japan UCITS ETF DR (C),LU2089238385,PRAJ,JPY,15,0.05%,27.57%,-,-,-,-,-,-
Amundi Prime Japan UCITS ETF DR (D),LU1931974775,PR1J,JPY,85,0.05%,27.91%,-,-,4.67%,-,-,-
Amundi Prime US Corporates UCITS ETF DR (C),LU2089239276,PRAP,USD,5,0.05%,-0.51%,-,-,-,-,-,-
Amundi Prime US Corporates UCITS ETF DR (D),LU2037749152,PR1P,USD,122,0.05%,-0.50%,-,-,0.90%,-,-,-
Amundi Prime US Treasury Bond 0-1 Y UCITS ETF DR Hedged EUR (C),LU2182388749,PR1H,EURHedged,38,0.07%,-,-,-,-,-,-,-
Amundi Prime US Treasury Bond 0-1 Y UCITS ETF DR USD (C),LU2182388665,PR1T,USD,4,0.05%,-,-,-,-,-,-,-
Amundi Prime US Treasury UCITS ETF DR (C),LU2089239193,PRAS,USD,14,0.05%,-12.13%,-,-,-,-,-,-
Amundi Prime US Treasury UCITS ETF DR (D),LU1931975319,PR1S,USD,4,0.05%,-12.10%,-,-,-1.20%,-,-,-
Amundi Prime USA UCITS ETF DR (C),LU2089238468,PRAU,USD,2,0.05%,40.35%,-,-,-,-,-,-
Amundi Prime USA UCITS ETF DR (D),LU1931974858,PR1U,USD,110,0.05%,40.38%,-,-,10.52%,-,-,-
Amundi Russell 2000 UCITS ETF EUR (C),LU1681038672,RS2K,EUR,205,0.35%,71.96%,56.06%,104.31%,9.63%,27.31%,-6.81%,0.44
Amundi S&P 500 Buyback UCITS ETF EUR (C),LU1681048127,BYBE,EUR,42,0.15%,53.44%,57.28%,99.02%,-2.89%,33.44%,-3.22%,5.94
Amundi S&P 500 UCITS ETF Daily Hedged EUR (C),LU1681049109,500H,EURHedged,"1,243",0.28%,49.65%,54.49%,-,16.86%,27.12%,-7.54%,-
Amundi S&P 500 UCITS ETF EUR (C),LU1681048804,500,EUR,"2,371",0.15%,38.14%,70.93%,109.39%,8.60%,33.77%,0.26%,6.72
Amundi S&P Global Luxury UCITS ETF EUR (C),LU1681048630,GLUX,EUR,169,0.25%,85.69%,69.02%,128.99%,24.74%,30.77%,-7.42%,21.80
Amundi Smart City UCITS ETF (C),LU2037748345,SCITY,EUR,115,0.35%,48.20%,-,-,10.10%,-,-,-
Amundi Smart Factory UCITS ETF - EUR (C),LU2037749822,SFTRY,EUR,80,0.35%,50.65%,-,-,29.25%,-,-,-
Amundi STOXX Europe 600 UCITS ETF EUR (C),LU1681040223,C6E,EUR,168,0.18%,36.50%,26.16%,50.72%,-2.00%,26.98%,-10.68%,10.66
Amundi STOXX Global Artificial Intelligence UCITS ETF (C),LU1861132840,GOAI,EUR,265,0.35%,62.55%,-,-,18.80%,31.77%,-,-
BNP Paribas Easy Bloomberg Barclays Euro Aggregate Treasury UCITS ETF,LU1481202692,JBEM,EUR,280,0.15%,3.24%,8.74%,-,4.83%,6.67%,0.81%,-
BNP Paribas Easy ECPI Circular Economy Leaders UCITS ETF,LU1953136527,REUSE,EUR,244,0.30%,43.37%,-,-,9.62%,-,-,-
BNP Paribas Easy ECPI Global ESG Blue Economy UCITS ETF,LU2194447293,BLUE,EUR,112,0.30%,-,-,-,-,-,-,-
BNP Paribas Easy ECPI Global ESG Infrastructure Equity UCITS ETF,LU1291109293,ENG,EUR,53,0.30%,19.79%,34.18%,39.50%,-8.44%,29.76%,-3.61%,1.36
BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF EUR,LU1547516291,EMEH,EURHedged,189,0.49%,27.48%,-0.56%,-,-3.48%,7.89%,-11.92%,-
BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF EUR,LU1291109616,GSDE,EUR,471,0.49%,17.94%,10.07%,28.53%,-9.88%,13.13%,-5.14%,-4.29
BNP Paribas Easy Equity Dividend Europe UCITS ETF,LU1615090864,EDEU,EUR,12,0.30%,47.91%,-2.00%,-,-14.30%,21.89%,-19.74%,-
BNP Paribas Easy Equity Low Volatility Europe UCITS ETF,LU1481201025,VLED,EUR,6,0.30%,23.86%,28.56%,-,-4.96%,24.11%,-2.90%,-
BNP Paribas Easy Equity Low Volatility Europe UCITS ETF,LU1377381717,EVOE,EUR,101,0.30%,23.83%,28.54%,-,-4.97%,24.11%,-2.91%,11.18
BNP Paribas Easy Equity Low Volatility US UCITS ETF,LU1481201298,VLUD,EUR,1,0.30%,17.59%,45.62%,-,-3.62%,29.74%,3.61%,-
BNP Paribas Easy Equity Low Volatility US UCITS ETF,LU1377381980,EVOU,EUR,10,0.30%,17.62%,45.66%,-,-3.63%,29.76%,3.61%,0.79
BNP Paribas Easy Equity Low Volatility US UCITS ETF USD,LU1481201371,VLUU,USD,2,0.30%,18.03%,45.76%,-,-3.82%,29.86%,3.33%,-
BNP Paribas Easy Equity Momentum Europe UCITS ETF,LU1481201538,MOED,EUR,1,0.30%,32.39%,13.77%,-,-2.13%,20.73%,-13.65%,-
BNP Paribas Easy Equity Momentum Europe UCITS ETF,LU1377382012,EMOM,EUR,3,0.30%,32.34%,13.74%,-,-2.14%,20.72%,-13.65%,18.16
BNP Paribas Easy Equity Quality Europe UCITS ETF,LU1481201611,QUED,EUR,3,0.30%,37.81%,28.55%,-,1.82%,21.37%,-7.78%,-
BNP Paribas Easy Equity Quality Europe UCITS ETF,LU1377382103,EQUA,EUR,17,0.30%,37.73%,28.48%,-,1.82%,21.37%,-7.78%,10.47
BNP Paribas Easy Equity Value Europe UCITS ETF,LU1481201702,VALD,EUR,3,0.30%,36.79%,3.70%,-,-12.28%,16.33%,-11.79%,-
BNP Paribas Easy Equity Value Europe UCITS ETF,LU1377382285,EVAE,EUR,68,0.30%,36.85%,3.75%,-,-12.27%,16.33%,-11.80%,17.74
BNP Paribas Easy EUR Corporate Bond SRI Fossil Free 1-3Y UCITS ETF,LU2008760592,SRIC3,EUR,116,0.20%,3.50%,-,-,0.50%,-,-,-
BNP Paribas Easy EUR Corporate Bond SRI Fossil Free 3-5Y UCITS ETF,LU2008761053,SRIC5,EUR,133,0.20%,6.52%,-,-,1.60%,-,-,-
BNP Paribas Easy EUR Corporate Bond SRI Fossil Free UCITS ETF,LU1859444769,SRIC,EUR,351,0.20%,8.47%,-,-,2.82%,-,-,-
BNP Paribas Easy EURO STOXX 50 UCITS ETF,FR0012739431,ETDD,EUR,167,0.18%,42.71%,26.96%,57.63%,-2.94%,28.55%,-12.15%,10.64
BNP Paribas Easy EURO STOXX 50 UCITS ETF,FR0012740983,ETBB,EUR,290,0.18%,42.75%,39.49%,89.81%,-2.90%,28.63%,-3.63%,11.43
BNP PARIBAS EASY FTSE EPRA Nareit Developed Europe ex UK Green UCITS ETF,LU2008763935,GREAL,EUR,161,0.40%,20.15%,-,-,-9.10%,-,-,-
BNP Paribas Easy FTSE EPRA/NAREIT Developed Europe UCITS ETF QD,LU1291091228,EEP,EUR,137,0.40%,21.23%,10.79%,18.59%,-10.63%,28.50%,-8.22%,11.95
BNP Paribas Easy FTSE EPRA/NAREIT Developed Europe UCITS ETF QD EUR Hedged,LU1859445063,EEEH,EURHedged,5,0.40%,20.08%,-,-,-9.49%,26.26%,-,-
BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF,LU0950381748,EEA,EUR,320,0.40%,19.93%,5.21%,21.92%,-10.68%,22.49%,-7.22%,17.57
BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF QD,LU0192223062,EEE,EUR,209,0.40%,20.01%,5.37%,21.95%,-10.62%,22.45%,-7.25%,17.63
BNP Paribas Easy iSTOXX MUTB Japan Quality 150 UCITS ETF EUR Hedged,LU1547514676,ISTM,EURHedged,2,0.30%,34.74%,23.24%,-,16.14%,22.28%,-17.84%,-
BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF,LU1547515053,EMBI,USD,11,0.25%,-,-,-,-,-,-,-
BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF EUR Hedged,LU1547515137,EMBH,EURHedged,3,0.25%,-,-,-,-,-,-,-
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF,LU2244387457,GEMU,EUR,0,0.15%,-,-,-,-,-,-,-
BNP Paribas Easy Low Carbon 100 Europe UCITS ETF,LU1377382368,ECN,EUR,815,0.30%,30.04%,28.43%,-,-1.08%,28.97%,-7.60%,-
BNP Paribas Easy Markit iBoxx EUR Liquid Corporates UCITS ETF,LU1481202775,ELQC,EUR,26,0.20%,8.01%,7.89%,-,2.34%,6.96%,-1.18%,-
BNP Paribas Easy MSCI EM ex Controversial Weapons UCITS ETF,LU1291097779,EEMK,EUR,60,0.35%,42.98%,27.01%,72.71%,8.24%,20.31%,-10.77%,19.64
