provincia,altitud,distancia,desnivel,pendiente,coeficiente,capital,temporadas,nubosidad,precipitaciones,lluvia,turismo
CASTELLÓN,1064,9,543,6,123,CASTELLÓN,"La temporada templada dura 3,0 meses, del 20 de junio al 22 de septiembre, y la temperatura máxima promedio diaria es más de 26 °C. El día más caluroso del año es el 12 de agosto, con una temperatura máxima promedio de 28 °C y una temperatura mínima promedio de 22 °C.La temporada fresca dura 4,0 meses, del 22 de noviembre al 22 de marzo, y la temperatura máxima promedio diaria es menos de 18 °C. El día más frío del año es el 7 de enero, con una temperatura mínima promedio de 7 °C y máxima promedio de 15 °C.","La parte más despejada del año en Castellón de la Plana comienza aproximadamente el 15 de junio; dura 2,7 meses y se termina aproximadamente el 5 de septiembre. El 23 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 88 % del tiempo y nublado o mayormente nublado el 12 % del tiempo.La parte más nublada del año comienza aproximadamente el 5 de septiembre; dura 9,3 meses y se termina aproximadamente el 15 de junio. El 30 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 47 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 53 % del tiempo.","La temporada más mojada dura 9,0 meses, de 29 de agosto a 31 de mayo, con una probabilidad de más del 12 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 19 % el 2 de noviembre.La temporada más seca dura 3,0 meses, del 31 de mayo al 29 de agosto. La probabilidad mínima de un día mojado es del 5 % el 9 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 19 % el 2 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 20 de octubre, con una acumulación total promedio de 49 milímetros.El periodo del año sin lluvia dura 1,6 meses, del 21 de junio al 8 de agosto. La fecha aproximada con la menor cantidad de lluvia es el 16 de julio, con una acumulación total promedio de 8 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Castellón de la Plana para las actividades turísticas generales a la intemperie son desde finales de mayo hasta principios de agosto y desde mediados de septiembre hasta principios de octubre, con una puntuación máxima en la última semana de junio."
CEUTA,227,2,218,8,55,CEUTA,"La temporada templada dura 2,8 meses, del 24 de junio al 19 de septiembre, y la temperatura máxima promedio diaria es más de 25 °C. El día más caluroso del año es el 5 de agosto, con una temperatura máxima promedio de 27 °C y una temperatura mínima promedio de 22 °C.La temporada fresca dura 4,2 meses, del 23 de noviembre al 29 de marzo, y la temperatura máxima promedio diaria es menos de 18 °C. El día más frío del año es el 19 de enero, con una temperatura mínima promedio de 11 °C y máxima promedio de 16 °C.","La parte más despejada del año en Ceuta comienza aproximadamente el 7 de junio; dura 3,0 meses y se termina aproximadamente el 6 de septiembre. El 18 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 94 % del tiempo y nublado o mayormente nublado el 6 % del tiempo.La parte más nublada del año comienza aproximadamente el 6 de septiembre; dura 9,0 meses y se termina aproximadamente el 7 de junio. El 30 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 45 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 55 % del tiempo.","La temporada más mojada dura 7,5 meses, de 28 de septiembre a 14 de mayo, con una probabilidad de más del 14 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 27 % el 8 de diciembre.La temporada más seca dura 4,5 meses, del 14 de mayo al 28 de septiembre. La probabilidad mínima de un día mojado es del 0 % el 26 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 27 % el 8 de diciembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 28 de noviembre, con una acumulación total promedio de 80 milímetros.El periodo del año sin lluvia dura 3,5 meses, del 27 de mayo al 11 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 27 de julio, con una acumulación total promedio de 1 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Ceuta para las actividades turísticas generales a la intemperie es desde finales de mayo hasta mediados de septiembre, con una puntuación máxima en la primera semana de julio."
CIUDAD REAL,922,6,436,6,105,CIUDAD REAL,"La temporada calurosa dura 2,9 meses, del 14 de junio al 9 de septiembre, y la temperatura máxima promedio diaria es más de 29 °C. El día más caluroso del año es el 23 de julio, con una temperatura máxima promedio de 34 °C y una temperatura mínima promedio de 19 °C.La temporada fresca dura 3,7 meses, del 14 de noviembre al 3 de marzo, y la temperatura máxima promedio diaria es menos de 15 °C. El día más frío del año es el 19 de enero, con una temperatura mínima promedio de 1 °C y máxima promedio de 11 °C.","La parte más despejada del año en Ciudad Real comienza aproximadamente el 8 de junio; dura 3,1 meses y se termina aproximadamente el 12 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 91 % del tiempo y nublado o mayormente nublado el 9 % del tiempo.La parte más nublada del año comienza aproximadamente el 12 de septiembre; dura 8,9 meses y se termina aproximadamente el 8 de junio. El 19 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 52 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 48 % del tiempo.","La temporada más mojada dura 8,4 meses, de 27 de septiembre a 7 de junio, con una probabilidad de más del 12 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 22 % el 30 de octubre.La temporada más seca dura 3,6 meses, del 7 de junio al 27 de septiembre. La probabilidad mínima de un día mojado es del 2 % el 31 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 22 % el 30 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 2 de noviembre, con una acumulación total promedio de 47 milímetros.El periodo del año sin lluvia dura 2,5 meses, del 22 de junio al 7 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 3 de agosto, con una acumulación total promedio de 3 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Ciudad Real para las actividades turísticas generales a la intemperie son desde mediados de mayo hasta principios de julio y desde mediados de agosto hasta principios de octubre, con una puntuación máxima en la tercera semana de septiembre."
CUENCA,1242,6,292,4,57,CUENCA,"La temporada templada dura 2,9 meses, del 22 de junio al 17 de septiembre, y la temperatura máxima promedio diaria es más de 25 °C. El día más caluroso del año es el 6 de agosto, con una temperatura máxima promedio de 28 °C y una temperatura mínima promedio de 21 °C.La temporada fresca dura 4,1 meses, del 20 de noviembre al 23 de marzo, y la temperatura máxima promedio diaria es menos de 16 °C. El día más frío del año es el 11 de enero, con una temperatura mínima promedio de 5 °C y máxima promedio de 13 °C.","La parte más despejada del año en Barcelona comienza aproximadamente el 16 de junio; dura 2,7 meses y se termina aproximadamente el 5 de septiembre. El 19 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 85 % del tiempo y nublado o mayormente nublado el 15 % del tiempo.La parte más nublada del año comienza aproximadamente el 5 de septiembre; dura 9,3 meses y se termina aproximadamente el 16 de junio. El 24 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 47 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 53 % del tiempo.","La temporada más mojada dura 9,3 meses, de 29 de agosto a 8 de junio, con una probabilidad de más del 15 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 22 % el 4 de octubre.La temporada más seca dura 2,6 meses, del 8 de junio al 29 de agosto. La probabilidad mínima de un día mojado es del 8 % el 14 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 22 % el 4 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 11 de octubre, con una acumulación total promedio de 62 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 10 de julio, con una acumulación total promedio de 19 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Barcelona para las actividades turísticas generales a la intemperie son desde finales de mayo hasta finales de julio y desde finales de agosto hasta finales de septiembre, con una puntuación máxima en la última semana de junio."
CÁCERES,1193,12,664,4,114,CÁCERES,"La temporada calurosa dura 2,9 meses, del 14 de junio al 12 de septiembre, y la temperatura máxima promedio diaria es más de 29 °C. El día más caluroso del año es el 23 de julio, con una temperatura máxima promedio de 34 °C y una temperatura mínima promedio de 17 °C.La temporada fresca dura 3,6 meses, del 16 de noviembre al 3 de marzo, y la temperatura máxima promedio diaria es menos de 16 °C. El día más frío del año es el 18 de enero, con una temperatura mínima promedio de 1 °C y máxima promedio de 12 °C.","La parte más despejada del año en Cáceres comienza aproximadamente el 6 de junio; dura 3,2 meses y se termina aproximadamente el 14 de septiembre. El 23 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 89 % del tiempo y nublado o mayormente nublado el 11 % del tiempo.La parte más nublada del año comienza aproximadamente el 14 de septiembre; dura 8,8 meses y se termina aproximadamente el 6 de junio. El 31 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 54 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 46 % del tiempo.","La temporada más mojada dura 8,2 meses, de 20 de septiembre a 27 de mayo, con una probabilidad de más del 14 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 26 % el 31 de octubre.La temporada más seca dura 3,8 meses, del 27 de mayo al 20 de septiembre. La probabilidad mínima de un día mojado es del 1 % el 31 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 26 % el 31 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 3 de noviembre, con una acumulación total promedio de 77 milímetros.El periodo del año sin lluvia dura 2,4 meses, del 21 de junio al 1 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 31 de julio, con una acumulación total promedio de 3 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Cáceres para las actividades turísticas generales a la intemperie es desde mediados de mayo hasta mediados de octubre, con una puntuación máxima en la tercera semana de septiembre."
CÁDIZ,808,9,511,5,108,CÁDIZ,"La temporada templada dura 3,0 meses, del 21 de junio al 22 de septiembre, y la temperatura máxima promedio diaria es más de 26 °C. El día más caluroso del año es el 28 de julio, con una temperatura máxima promedio de 29 °C y una temperatura mínima promedio de 21 °C.La temporada fresca dura 3,6 meses, del 24 de noviembre al 11 de marzo, y la temperatura máxima promedio diaria es menos de 18 °C. El día más frío del año es el 19 de enero, con una temperatura mínima promedio de 8 °C y máxima promedio de 16 °C.","La parte más despejada del año en Cádiz comienza aproximadamente el 6 de junio; dura 3,1 meses y se termina aproximadamente el 9 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 94 % del tiempo y nublado o mayormente nublado el 6 % del tiempo.La parte más nublada del año comienza aproximadamente el 9 de septiembre; dura 8,9 meses y se termina aproximadamente el 6 de junio. El 30 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 46 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 54 % del tiempo.","La temporada más mojada dura 7,3 meses, de 30 de septiembre a 9 de mayo, con una probabilidad de más del 13 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 26 % el 8 de diciembre.La temporada más seca dura 4,7 meses, del 9 de mayo al 30 de septiembre. La probabilidad mínima de un día mojado es del 0 % el 31 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 26 % el 8 de diciembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 18 de diciembre, con una acumulación total promedio de 88 milímetros.El periodo del año sin lluvia dura 3,5 meses, del 27 de mayo al 10 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 26 de julio, con una acumulación total promedio de 1 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Cádiz para las actividades turísticas generales a la intemperie es desde mediados de mayo hasta mediados de septiembre, con una puntuación máxima en la última semana de junio."
CÓRDOBA,1059,7,500,6,109,CÓRDOBA,"La temporada calurosa dura 2,9 meses, del 16 de junio al 11 de septiembre, y la temperatura máxima promedio diaria es más de 32 °C. El día más caluroso del año es el 24 de julio, con una temperatura máxima promedio de 36 °C y una temperatura mínima promedio de 19 °C.La temporada fresca dura 3,7 meses, del 15 de noviembre al 4 de marzo, y la temperatura máxima promedio diaria es menos de 19 °C. El día más frío del año es el 20 de enero, con una temperatura mínima promedio de 4 °C y máxima promedio de 14 °C.","La parte más despejada del año en Córdoba comienza aproximadamente el 9 de junio; dura 2,9 meses y se termina aproximadamente el 7 de septiembre. El 23 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 93 % del tiempo y nublado o mayormente nublado el 7 % del tiempo.La parte más nublada del año comienza aproximadamente el 7 de septiembre; dura 9,1 meses y se termina aproximadamente el 9 de junio. El 16 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 48 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 52 % del tiempo.","La temporada más mojada dura 7,8 meses, de 28 de septiembre a 21 de mayo, con una probabilidad de más del 12 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 23 % el 31 de octubre.La temporada más seca dura 4,2 meses, del 21 de mayo al 28 de septiembre. La probabilidad mínima de un día mojado es del 1 % el 30 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 23 % el 31 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 4 de noviembre, con una acumulación total promedio de 68 milímetros.El periodo del año sin lluvia dura 2,9 meses, del 8 de junio al 5 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 29 de julio, con una acumulación total promedio de 2 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Córdoba para las actividades turísticas generales a la intemperie son desde mediados de abril hasta finales de junio y desde principios de septiembre hasta finales de octubre, con una puntuación máxima en la primera semana de octubre."
GERONA,1284,13,807,6,191,GERONA,"La temporada calurosa dura 2,8 meses, del 18 de junio al 10 de septiembre, y la temperatura máxima promedio diaria es más de 27 °C. El día más caluroso del año es el 5 de agosto, con una temperatura máxima promedio de 31 °C y una temperatura mínima promedio de 18 °C.La temporada fresca dura 4,0 meses, del 16 de noviembre al 15 de marzo, y la temperatura máxima promedio diaria es menos de 17 °C. El día más frío del año es el 10 de enero, con una temperatura mínima promedio de 2 °C y máxima promedio de 13 °C.","La parte más despejada del año en Girona comienza aproximadamente el 19 de junio; dura 2,5 meses y se termina aproximadamente el 5 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 82 % del tiempo y nublado o mayormente nublado el 18 % del tiempo.La parte más nublada del año comienza aproximadamente el 5 de septiembre; dura 9,5 meses y se termina aproximadamente el 19 de junio. El 22 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 49 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 51 % del tiempo.","La temporada más mojada dura 10,0 meses, de 20 de agosto a 18 de junio, con una probabilidad de más del 16 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 22 % el 8 de mayo.La temporada más seca dura 2,0 meses, del 18 de junio al 20 de agosto. La probabilidad mínima de un día mojado es del 10 % el 14 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 22 % el 8 de mayo.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 18 de octubre, con una acumulación total promedio de 67 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 14 de julio, con una acumulación total promedio de 23 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Girona para las actividades turísticas generales a la intemperie es desde finales de mayo hasta principios de octubre, con una puntuación máxima en la última semana de junio."
GIPUZKOA,491,5,349,5,81,SAN SEBASTIÁN,"La temporada templada dura 3,1 meses, del 21 de junio al 24 de septiembre, y la temperatura máxima promedio diaria es más de 22 °C. El día más caluroso del año es el 3 de agosto, con una temperatura máxima promedio de 25 °C y una temperatura mínima promedio de 18 °C.La temporada fresca dura 3,8 meses, del 22 de noviembre al 15 de marzo, y la temperatura máxima promedio diaria es menos de 15 °C. El día más frío del año es el 7 de febrero, con una temperatura mínima promedio de 6 °C y máxima promedio de 13 °C.","La parte más despejada del año en San Sebastián comienza aproximadamente el 12 de junio; dura 3,3 meses y se termina aproximadamente el 20 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 77 % del tiempo y nublado o mayormente nublado el 23 % del tiempo.La parte más nublada del año comienza aproximadamente el 20 de septiembre; dura 8,7 meses y se termina aproximadamente el 12 de junio. El 15 de enero, el día más nublado del año, el cielo está nublado o mayormente nublado el 63 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 37 % del tiempo.","La temporada más mojada dura 8,1 meses, de 19 de septiembre a 22 de mayo, con una probabilidad de más del 27 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 38 % el 18 de noviembre.La temporada más seca dura 3,9 meses, del 22 de mayo al 19 de septiembre. La probabilidad mínima de un día mojado es del 15 % el 11 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 38 % el 18 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 14 de noviembre, con una acumulación total promedio de 99 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 23 de julio, con una acumulación total promedio de 28 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar San Sebastián para las actividades turísticas generales a la intemperie es desde finales de junio hasta mediados de septiembre, con una puntuación máxima en la tercera semana de julio."
GRANADA,1374,14,853,5,204,GRANADA,"La temporada calurosa dura 2,8 meses, del 15 de junio al 10 de septiembre, y la temperatura máxima promedio diaria es más de 30 °C. El día más caluroso del año es el 23 de julio, con una temperatura máxima promedio de 34 °C y una temperatura mínima promedio de 16 °C.La temporada fresca dura 3,8 meses, del 15 de noviembre al 7 de marzo, y la temperatura máxima promedio diaria es menos de 16 °C. El día más frío del año es el 15 de enero, con una temperatura mínima promedio de 0 °C y máxima promedio de 12 °C.","La parte más despejada del año en Granada comienza aproximadamente el 10 de junio; dura 2,9 meses y se termina aproximadamente el 6 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 93 % del tiempo y nublado o mayormente nublado el 7 % del tiempo.La parte más nublada del año comienza aproximadamente el 6 de septiembre; dura 9,1 meses y se termina aproximadamente el 10 de junio. El 31 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 47 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 53 % del tiempo.","La temporada más mojada dura 7,8 meses, de 26 de septiembre a 20 de mayo, con una probabilidad de más del 10 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 19 % el 30 de octubre.La temporada más seca dura 4,2 meses, del 20 de mayo al 26 de septiembre. La probabilidad mínima de un día mojado es del 1 % el 31 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 19 % el 30 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 7 de noviembre, con una acumulación total promedio de 47 milímetros.El periodo del año sin lluvia dura 3,5 meses, del 29 de mayo al 14 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 29 de julio, con una acumulación total promedio de 1 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Granada para las actividades turísticas generales a la intemperie son desde mediados de mayo hasta mediados de julio y desde mediados de agosto hasta principios de octubre, con una puntuación máxima en la segunda semana de junio."
GUADALAJARA,1358,11,406,3,77,GUADALAJARA,"La temporada calurosa dura 2,8 meses, del 16 de junio al 10 de septiembre, y la temperatura máxima promedio diaria es más de 28 °C. El día más caluroso del año es el 23 de julio, con una temperatura máxima promedio de 32 °C y una temperatura mínima promedio de 16 °C.La temporada fresca dura 3,7 meses, del 14 de noviembre al 5 de marzo, y la temperatura máxima promedio diaria es menos de 14 °C. El día más frío del año es el 19 de enero, con una temperatura mínima promedio de 0 °C y máxima promedio de 10 °C.","La parte más despejada del año en Guadalajara comienza aproximadamente el 11 de junio; dura 3,0 meses y se termina aproximadamente el 12 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 87 % del tiempo y nublado o mayormente nublado el 13 % del tiempo.La parte más nublada del año comienza aproximadamente el 12 de septiembre; dura 9,0 meses y se termina aproximadamente el 11 de junio. El 20 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 53 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 47 % del tiempo.","La temporada más mojada dura 8,6 meses, de 29 de septiembre a 16 de junio, con una probabilidad de más del 14 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 23 % el 1 de noviembre.La temporada más seca dura 3,4 meses, del 16 de junio al 29 de septiembre. La probabilidad mínima de un día mojado es del 5 % el 19 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 23 % el 1 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 27 de octubre, con una acumulación total promedio de 45 milímetros.El periodo del año sin lluvia dura 2,0 meses, del 2 de julio al 3 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 31 de julio, con una acumulación total promedio de 7 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Guadalajara para las actividades turísticas generales a la intemperie es desde finales de mayo hasta finales de septiembre, con una puntuación máxima en la primera semana de septiembre."
HUELVA,464,5,266,5,52,HUELVA,"La temporada calurosa dura 3,0 meses, del 16 de junio al 15 de septiembre, y la temperatura máxima promedio diaria es más de 28 °C. El día más caluroso del año es el 25 de julio, con una temperatura máxima promedio de 31 °C y una temperatura mínima promedio de 21 °C.La temporada fresca dura 3,7 meses, del 20 de noviembre al 9 de marzo, y la temperatura máxima promedio diaria es menos de 19 °C. El día más frío del año es el 19 de enero, con una temperatura mínima promedio de 7 °C y máxima promedio de 16 °C.","La parte más despejada del año en Huelva comienza aproximadamente el 7 de junio; dura 3,1 meses y se termina aproximadamente el 9 de septiembre. El 23 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 94 % del tiempo y nublado o mayormente nublado el 6 % del tiempo.La parte más nublada del año comienza aproximadamente el 9 de septiembre; dura 8,9 meses y se termina aproximadamente el 7 de junio. El 30 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 46 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 54 % del tiempo.","La temporada más mojada dura 7,6 meses, de 27 de septiembre a 14 de mayo, con una probabilidad de más del 12 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 23 % el 28 de diciembre.La temporada más seca dura 4,4 meses, del 14 de mayo al 27 de septiembre. La probabilidad mínima de un día mojado es del 1 % el 31 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 23 % el 28 de diciembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 5 de noviembre, con una acumulación total promedio de 72 milímetros.El periodo del año sin lluvia dura 3,5 meses, del 28 de mayo al 12 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 25 de julio, con una acumulación total promedio de 1 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Huelva para las actividades turísticas generales a la intemperie son desde finales de abril hasta mediados de julio y desde mediados de agosto hasta mediados de octubre, con una puntuación máxima en la última semana de mayo."
HUESCA,1359,9,489,5,93,HUESCA,"La temporada calurosa dura 3,0 meses, del 11 de junio al 10 de septiembre, y la temperatura máxima promedio diaria es más de 26 °C. El día más caluroso del año es el 31 de julio, con una temperatura máxima promedio de 30 °C y una temperatura mínima promedio de 18 °C.La temporada fresca dura 3,6 meses, del 16 de noviembre al 4 de marzo, y la temperatura máxima promedio diaria es menos de 13 °C. El día más frío del año es el 11 de enero, con una temperatura mínima promedio de 1 °C y máxima promedio de 9 °C.","La parte más despejada del año en Huesca comienza aproximadamente el 16 de junio; dura 2,7 meses y se termina aproximadamente el 6 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 84 % del tiempo y nublado o mayormente nublado el 16 % del tiempo.La parte más nublada del año comienza aproximadamente el 6 de septiembre; dura 9,3 meses y se termina aproximadamente el 16 de junio. El 31 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 48 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 52 % del tiempo.","La temporada más mojada dura 8,3 meses, de 29 de septiembre a 8 de junio, con una probabilidad de más del 16 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 22 % el 4 de mayo.La temporada más seca dura 3,7 meses, del 8 de junio al 29 de septiembre. La probabilidad mínima de un día mojado es del 10 % el 20 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 22 % el 4 de mayo.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 3 de noviembre, con una acumulación total promedio de 37 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 25 de julio, con una acumulación total promedio de 14 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Huesca para las actividades turísticas generales a la intemperie es desde principios de junio hasta finales de septiembre, con una puntuación máxima en la primera semana de julio."
