Rating,Review Quote,Full Review,Date of review,Date of visit
50,Great place for tapas!,"So fun— great drinks and service! Easy to share, way worth the price. Our server David was very helpful!","Reviewed February 28, 2020",Date of visit: February 2020
10,Not possible,"We had to check again and again to see if we are in the correct place. A restaurant with all these good reviews but we see red but all others else sees green?The food is simply on the bar, a mess, bad presentation and open to the environment. No health care here! One guy wears black plastic gloves but touches everything, the rope at enterance, money, food.... The staff are not friendly as other reviews says and the place is small, dark and dirty. Toilet located just by kitchen. We wasted our evening here.Show less","Reviewed February 26, 2020",Date of visit: February 2020
50,Wonderful place,The bast restaurant with tapas in city centre. You will be happy if Dawid will take care of you. He is the great waiter!!!,"Reviewed February 23, 2020",Date of visit: February 2020
50,Great time with super service.,The best restaurant we have been in. David helped us with everything. I can totally recommend. You have to go there!!!!!!!!,"Reviewed February 23, 2020",Date of visit: February 2020
50,Fabulous and authentic tapas,Fabulous and authentic tapas food - could not be better and looked after like royalty by Oliver... highly recommend.,"Reviewed February 23, 2020",Date of visit: February 2020
30,Average at best,We went here based on trip advisor reviews. We had used trip advisor for all our other meals and they were amazing! This one unfortunately did not live up to the hype. The food was average at best and was served so fast that we had 8 dishes in half an hour! There are honestly much better places around for really tasty food with interesting ingredients. If you’re a fussy eater it’s probably great. We came away very disappointedShow less,"Reviewed February 19, 2020",Date of visit: February 2020
50,Just go. Incredible evening!,"Just go. Incredible evening! 40€ menu option is amazing and the array of snacks will satisfy any palette - they were kind enough to ask us for dietary restrictions or allergies right off the bat! We spent a few hours here sipping and snacking. Our server David was friendly, accommodating and very attentive.Show less","Reviewed February 19, 2020",Date of visit: February 2020
50,Realy good dining experience.,"Realy good dining experience. Before going there they guide u through the menu options. U have vegeterain and meat versions. And if u are not familiar with tapas like we were, I would recommend the 8 different tapas menu. The bartenders were really nice.We were served by David. So thumbs up, and best regards from Slovenia.Show less","Reviewed January 30, 2020",Date of visit: January 2020
50,Recommend,"Before we entered the staff made sure we were aware that there was no seafood available and that they only accept cash in case this would cause any problems. I really like that they did this to make sure we don't run into this place with different expectations.We had a table pretty fast, the area is creatively designed with a Spanish esthetic. It's a very warm environment (not as in heat but as in cosy.) We picked menu option two. In this option they picked out the tapas for you. (there's an option to pick your own or send back ones you didn't like and get them replaced)The food was very tasty and fast at our table. The tapas were diverse so the flavor pallette wouldn't get boring.The staff is incredible. They made the place feel like home in a way (homey) . They were very understanding and took the time to explain everything. The staff works with a smile on their face and a happy spirit.Our waiter was César.Show less","Reviewed January 29, 2020",Date of visit: January 2020
50,Amazing food and atmosphere,Would recommend to everyone. It was fantastic and derive was amazing. Small and cozy but fast food delivery and the 2 for 40 was awesome because it was surprising what you got,"Reviewed January 26, 2020",Date of visit: January 2020
50,Best tapas in Barcelona,Interesting and unusual tapas with excellent vegetarian options. Jennifer looked after us including with excellent selections of red wine. It's small but perfect. Highly recommend a visit.,"Reviewed January 24, 2020",Date of visit: January 2020
50,It was great,We were happy to be back after a couple of years. It was still great food and super service from Kate,"Reviewed January 22, 2020",Date of visit: January 2020
50,Highly recommended (indeed!) Tapas restaurant,"At the recommendation of someone from Barcelona we went to Bodega Biarritz 1881. Thankfully we arrived at 645pm and managed to get a table as soon after it was full and people were queuing outside. It’s not a big place..We went for the €40/2 people tapas menu and a lovely bottle of Cataluynan red (Terra). Our server Oliver was awesome. He asked for our eating preferences then chose tapas for us. 8 courses plus pre-appetiser. The food was lovely, the ambience was great and Oliver made it a tremendous experience.Meal finished off with a brandy shot!Highly recommended and only €72.50 for two- we left fully satisfied.Ask Oliver about the Osborne bull. Thank you Oliver for a great evening!Show less","Reviewed January 21, 2020",Date of visit: January 2020
50,Favourite restaurant in Spain!,"My partner and I visited here last June, out of all the places we visited on our 2 week trip (Barcelona, Seville,Madrid) this was our favourite restaurant! We even came back for dinner a second time! Very busy, small, but a great atmosphere, and customer service-I'll get to the amazing food later. If you get there at rush hour and have to wait in a que they have little stools lined up for you to sit on, and they come and take your drinks order while you wait.My partner is vegetarian and lactose intolerant- we took a gamble and went for the surprise order (a starter, and 8 tapas) we explained my partners eating requirements and they went above and beyond, the chef even came out to double check what he could and couldn't eat (very reassuring when you have someone with intolerances/allergies). I think he took it as a personal challenge to make us something special. The food was AMAZING! During our 2nd visit we were expecting to have the same dishes as the first time (there's only so much you can do with certain requirements) but they still managed to give us new and different dishes. Each time we had 2 of the tapas dishes as meat (for me), which were equally nice.100% recommend as a MUST if your visiting Barcelona! You'll be missing out if you don't go!Show less","Reviewed January 21, 2020",Date of visit: June 2019
50,The most exclusive and BEST place in Barcelona,"We found this restaurant via TripAdvisor.Please note this is a very small restaurant and you are not able to book. So I would definitely advise large groups to avoid. However I felt this led to its exclusivity.We let our Waitress Jennifer make the decisions/recommendations for the entire meal following a friendly conversation regarding our preferences. She could not have been more hospitable and her choices were amazing.We have had tapas in many restaurants - in both UK & Barcelona - and this was by far the best food.It was worth it for the original & personal experience alone.Oh, and the bill was ridiculously cheap (I had genuinely thought they had only charged us for 1 person instead of 2!)The ONLY thing that would make this place perfect is if they took card payments.Show less","Reviewed January 21, 2020",Date of visit: January 2020
50,"Delicious food, excellent variety, great experience!","i am a huge fan of tapas restaurants because I love the variety. This place absolutely did not disappoint! It was all wonderful. The servers were excellent - super friendly, very attentive, and really took the time to explain the menu and the offerings. We opted for the 40 euro (for 2) option which came with a meat and cheese board, an appetizer, then 8 different tapas chosen based on some questions they asked us initially. They even told us if we didn't like one of the tapas then no problem! They would switch it up. We did not end up doing this because they were all quite tasty. Also recommend their sangria and mojitos :).Definitely go here if you are in Barcelona! And make sure you bring cash as it's cash only. They also gave us a complementary shot of a delicious liqueur at the end.Show less","Reviewed January 21, 2020",Date of visit: January 2020
50,Luxury tapas!,"I decided to surprise my girlfriend who never had tapas before and She was amazed by the place,tapas and mostly the service from Oliver Who once again delighted me with his contagious good mood and magnificent service. Thanks again Oliver. You are unique! This guy is the best waiter ever... If you are Lucky to be attended by him, be sure you will spend the best dinner of your Life,he is so funny and will spoil you all the way through!Show less","Reviewed January 20, 2020",Date of visit: January 2020
50,10/10 recommend!,"This place should get a 10 star review!!! Food was incredible!!! Atmosphere was SUPER fun and our server Kate, was the very best of any restaurant (and we went to a ton) during our week stay in Barcelona!! Please go eat here!! It’s awesome. All the tapas are so tasty.... food, wine, price, service- it’s all fabulous!Show less","Reviewed January 19, 2020",Date of visit: January 2020
50,Nothing short of amazing,"A friend of mine suggested if I'm ever in Barcelona to definitely visit Bodega Biarritz.Went there, was not disappointed at all.Kate was serving me, I'd never been to Spain before and was only there for a day.Kate talked me through traditional food and explained everything perfectly.The food was amazingly delicious. Really good textures and balanced flavours.I really really enjoyed my time there.The service was excellent.I will definitely going back again and bringing friends.Show less","Reviewed January 19, 2020",Date of visit: January 2020
50,Scenes,"Fantastic food, great price - class atmosphere, César best waiter in the gaff give him a raise. Looking forward to another trip👍🤝","Reviewed January 15, 2020",Date of visit: January 2020
50,Tapas were delicious and the,"Tapas were delicious and the staff very friendly, especially Kate, a lovely and smiling person. We were there on recommendation of friends and would definitely recommend when visiting Bcn. The place is very small but really cozy.","Reviewed January 14, 2020",Date of visit: January 2020
50,Great food and service,We had a delicious dinner last night here after being recommended from a friend and reading the other positive reviews on here. We had the 40 euro (for both of us) with a meat/cheese board and 8 tapas meals. They were all fantastic. We got there right on 5pm and walked straight in. Make sure you have cash! Service was great- David was very helpful and friendly. Thanks for a great dinner!Show less,"Reviewed January 13, 2020",Date of visit: January 2020
50,Fab u lous,We went here after reading trip adviser and were not disappointed. We went first to their venue which only serves people in 2s and they sent us around the corner to the larger site. Although its not much bigger lol. The food is amazing good options and prices set meals are either 15 20 or 40 euros. We did the 20 and got 8 x 2 tapas to share between four all different each time. Drinks good prices too. By the time we left at 7.15pm on a Weds people were queuing to get in. Go there it's great!!Show less,"Reviewed January 13, 2020",Date of visit: January 2020
50,David was fabulous! Amazing,David was fabulous! Amazing food! The tapas were a surprise and each one was full of flavor and complexity. Fav spot!,"Reviewed January 13, 2020",Date of visit: January 2020
50,bodega biarritz,"if youre looking for superb food, lovely staff, buzzing atmosphere and just a fantastic experience then bodega biarritz is the place to go!! my sister and i went last night and it was so fab that we’re going back tonight to celebrate my birthday the food is so awesome im struggling to find words! if you visit barcelona then you owe it to yourself to come here its OUTSTANDING!! looking forward to tonight already tracy and sands xShow less","Reviewed January 12, 2020",Date of visit: January 2020
50,Awesome experience,"Just been after seeing the reviews.. the 5 star did not disappoint. Seated by our host for the evening Oliver, fully explained the menu choices. We opted for the 40 Euro- 2× starter tapas, then a meat and cheese board with breads, followed by a house selection of 8 tapas. Advised Oliver we had 1x vegetarian and this was catered for exceptionally well. Variety, authentic, friendly, beautiful food... everything we hoped for. A perfect evening.Thank you Oliver for your hospitality... we will be backShow less","Reviewed January 12, 2020",Date of visit: January 2020
30,Typical tapas bar,"We spent our evening in Bodega Biarritz drinking a bottle of local cabernet (very good) with a rich menu of tapas with typical recipes and goods (hamon and queso). Everything was well cooked: Jennifer, our waitress, was very kind and careful to give suggestion and verify that everything was okShow less","Reviewed January 12, 2020",Date of visit: January 2020
50,Highly recommended.,Home made tapas and delicious. Nothing over priced and great wine at affordable prices. Very popular restaurant.,"Reviewed January 9, 2020",Date of visit: January 2020
50,Fantastic,A very special small place with the most fantastic service.Waiter Oliver gave us a very special treatment. Tapas and wine in top end... and very reasonable prices.We came early and got a nice table back in the restaurant.... a lot of nice small talk about football and Messi :)It was a super experience for us and we will come back again for sure.A real hidden gem !Show less,"Reviewed January 5, 2020",Date of visit: December 2019
50,"Stunning, hidden gem!","I found this due to looking for the best paella in Barca, however we didnt find this which was advertised. What we did find was an amazing little hidden gem. We was greeted by Oliver who explained how everything worked in the restaurant, he recommended the surprise meat tapas selection. This arrived in stages and was absolutely out of this world, very authentic dishes. We had a 2 x Estrella and 2 x Sangria, my husband said it is the best beer he has had in a long while and he enjoys a nice beer. It came in a frosted glass, which kept it ice cold. I would definitely recommend this restaurant for a nice quick bite or a meal with a loved one. The young man on the bar was also really helpful, explaining the dishes in detail so we knew what we was eating. We also asked for no goats cheese and no veg, purely meat tapas for us. Sorry I forgot to take a pic of the last meat one which has the main dishes on, we was just too excited.Show less","Reviewed January 4, 2020",Date of visit: January 2020
50,Wonderful restaurant !,"We went to the ""Bodega Biarritz"" with my boyfriend two days ago. It was excellent, it is a great place to eat and have a good time in Barcelona. It was worth waiting a bit and the waiters eased our wait by providing with foods and drinks. The waiters speak a lot of languages : french, spanish, english, italian...During our meal, the waiters were explaining very well the composition of the plates. It was very good and healthy food !A special thanks to Kate, a waitress whiwh serve us for her kindness and her smile!Because we loved this place, we will go back this night !I recommand you to try it as soon as possible !Manon and CorentinShow less","Reviewed December 30, 2019",Date of visit: December 2019
50,Absolutely Amazing,"My two dinners at Bodega Biarritz 1881 were beyond fantastic! Everything about the experience was great. The size of the restaurant helps to maintain an intimate atmosphere. The food on display and the process of picking and choosing what you want helps you order the appropriate amount of food. And the service (especially Jennifer, who helped me find the local cream liqueur they serve after dinner) was great. I enjoyed my meal so much that I went back and would definitely go back again!Show less","Reviewed December 29, 2019",Date of visit: December 2019
50,Small tapas bar highly recommended - note only accepts cash be early to avoid waiting to get in.,Very small tapas wine bar. They only have limited seats so you may need to wait. We arrived early around 6.30 and went straight in. When we finished there was line outside waiting so it is very popular. We were offered the menu which allows you to choose 30 or 40 euro menu for two which is a surprise and includes a selection of 10 small tapas for two people for 30 euro menu. Some were cold and most hot . We were pretty full at the end so heaps of food for the price. Good selection of wine and the staff were really friendly explaining everything to us in English.Great atmosphere as it is a small restaurant. The food was very tasty and good value. Would highly recommend.They only accept cash so no cards.Show less,"Reviewed December 29, 2019",Date of visit: December 2019
50,Excellent everything!,"Excellent food and service. We were helped by Oliver at the restaurant. Compared to other tapas places, this was the best experience by far. Other places are usually too salty, and have bad service. This was the only place that served flavorful food that was not overly salty.It is tiny, so come early (as close to 5PM) as you can because the line starts early.Bring cash - it is at least 30 euros for a meal for two and around 3 to 4 for each tapas.Very good food - not salty, very flavorful, very fast, warm and delicious.They make a combination of 8 tapas for you based on your preferences and it is great. Good variety, the right portion size for each tapas to get a taste.Show less","Reviewed December 29, 2019",Date of visit: December 2019
30,"Service is fine, but food is very so so.","I went to this place because of so many good reviews, but I would not recommend this to tourists. I have to admit it appears to be a popular place. There is always a waiting line outside, which gives me a high expectation of tasty food. Actually the food is very so so. We have four people and ordered both option 1 and option 2 from the menu. I have not found anything good and tasty. I prefer to the seafood tapas in other places during my stay at Barcelona for a week.Show less","Reviewed December 28, 2019",Date of visit: December 2019
50,Excellent tapas and lovely venue,"Visited with family last week and had a lovely evening with amazing food. We went for the tapas sampling menu and were not disappointed. So many highlights - all the food was fabulous and amazing value for money. Lots of local produce and presented by friendly, knowledgeable staff who clearly loved the food they served. Could not fault anything and special thanks to the staff who really looked after us and gave us a fabulous night.Show less","Reviewed December 22, 2019",Date of visit: December 2019
50,The most fabulous tapas experience.,The most fabulous tapas experience. Oliver was so friendly and attentive and the food is unreal! Such a cosy little spot. Just disappointed that we picked the best restaurant on our first night because we really did set the bar too high. You will love it!Show less,"Reviewed December 21, 2019",Date of visit: December 2019
50,Keane family,"Excellent food, excellent service from all staff. We would highly recommend this place and will definitely revisit. We overpaid in error by €50 and the waitress tracked us down in the street well after we left to refund the overpayment.","Reviewed December 19, 2019",Date of visit: December 2019
50,"Very friendly staff, tasty food and reasonable price",The surprise tapas menu was absolutely delicious and I would highly recommend it. The staff were very helpful and kind. Would definitely go again,"Reviewed December 19, 2019",Date of visit: December 2019
50,"Amazing food, good price, lovely staff","The food and atmosphere were excellent, had a surprise menu which was lovely with so many dishes I had not tried, left totally full and extremely good value for money. Kate our waitress was informative, good fun and helpful!","Reviewed December 17, 2019",Date of visit: December 2019
40,Recommended!,"My friend and I went here on recommendation. It was certainly worth while. Great ambiance, nice food and very good service!","Reviewed December 16, 2019",Date of visit: December 2019
40,Nice cosy place,"A most cosy place, not far from cathedral Barcelona, we have a lovely dinner, recommend it will come back again","Reviewed December 14, 2019",Date of visit: December 2019
50,Cute little restaurant with best tapas,"Deep inside a little valley near Gothic District, you will find this cozy restaurant. It fits around less than 20 people. It's worth every minute of the wait. Try to get there when it opens. The menu is set so it saved us the trouble of which to choose since everything looks so damn good. We opted for option #2. It was good enough to feed two. The dishes were small, but enough to feed two. Not sure how they measure this, but portion side is just perfect. Staff are very friendly. César mixed our drinks to our liking and took the time to explain to us , he made our experience here pleasantly comfortable. All dishes were exceptional. Must visit if you are in this part of Spain. All your pallets will be dancing with joys.Show less","Reviewed December 12, 2019",Date of visit: December 2019
50,Great place,"The food was great. We picked option 1 where they surprise you with a few tapas and they were all amazing. It was very easy to communicate that someone in our group had a gluten allergy and they were very accommodating. César was our waiter and he was the best. Drinks were delicious as well. Just be aware that it is a tapas bar, so there isn’t much space.Show less","Reviewed December 12, 2019",Date of visit: December 2019
50,We wanted to check it!,We wanted to check if the reviews were correct! And It was a better experience than expected. Oliver who served us also made the dinner more amazing.,"Reviewed December 9, 2019",Date of visit: December 2019
50,Authentic Tapas,"Been in Barcelona two nights and ate here twice. Brilliant service, gorgeous food in an authentic environment. First had the £40 tapas menu, second had a selection of 5 tapas with a drink. Couldn’t recommend enough. May even return tomorrow.","Reviewed December 9, 2019",Date of visit: December 2019
50,The place to eat in Barcelona. A truly unique experience of authentic cuisine and warm hospitality,It's not a big restaurant. In fact it's quite intimate but what it lacks in size it makes up in spirit. Me and my wife visited the Bodega Biarritz in December and it was exactly the culinary experience we were looking for in Barcelona. A blend of authentic Catalan and Spanish cuisine and the most wonderful host. TIP : Ask for Kate and let her guide you ; Thank you Kate for hosting us!Show less,"Reviewed December 7, 2019",Date of visit: December 2019
50,Fantastic tucked away gem!,"Wow. This little place packs a punch! It's unassuming from the outside and I think relies on its trip advisor rating, which is why I think it deserves a good review. Oliver is so welcoming and more than happy to make sure you're being taken good care of. He asks what types of food you like/dislike and ensures you're comfortable with what is going to be served. I would recommend you go with Option 1, 8 tapas all random. Saves getting up and tying to decide. There is no seafood (great for us) and it's cash only. To top it off its cheap and you get a complementary shot of Catalan cream (bit like Bailey's). Would definitely recommend and would go back!Show less","Reviewed December 6, 2019",Date of visit: December 2019
50,Exceptional tapas,We did not book but were greeted warmly. Had the set menu. What a treat. The tapas was amazing and better still all were gluten free. Definitely one to visit. Our waitress Kate was friendly and looked after us well,"Reviewed December 6, 2019",Date of visit: December 2019
50,Fantastic Food at a Reasonable Price,"Being the number one restaurant on TripAdvisor and finding this place somewhat on a whim, I doubted that we would get a seat. Luckily enough, the line wasn't too long (roughly 15 minutes) and the seating was efficient, if not slightly too intimate.We ordered the tasting menu, which was 1 appetizer (mushroom croquettes) and 8 tapas. Each dish was simply incredible. Consisting of mostly vegetarian dishes (e.g., egg quiche) and chicken/ chorizo dishes (e.g., patatas bravas), the food had a felt largely like homemade comfort food with bright flavor profiles in the individual ingredients. It's hard to pick a standout, but the chorizo sausage in particular was absolutely divine. This certainly tops my list for best tapas I've had in Barcelona.In combination with two large sangria cup (7 euros each) and 30 euros for the tasting menu, the bill came out to an incredibly affordable 44 euros for TWO. Cesar, our waitstaff, was expedient and kind throughout and even gifted us with four extra shots at the bar. Cheers to Bodega Biarritz for their innovation, aesthetic, and customer service.Show less","Reviewed December 2, 2019",Date of visit: December 2019
50,"Best Tapas, of a great long weekend, worth waiting for.","This tops the list, highly recommend to anybody visiting Barcelona. The best evening we have had. Staff, atmosphere and food amazing, Kate was a star explaining every dish she chose in our “surprise menu”. All for 55 Euro with a bottle of Rioja!","Reviewed December 1, 2019",Date of visit: December 2019
50,Best Tapas,Best tapas in city! Service was very nice: Gianmarco was a blast! The menu wasn't expensive and even though the place is very tiny it was a great experience! 5/5,"Reviewed November 30, 2019",Date of visit: November 2019
40,Cash Only * Best no fish/no seafood tapas,"Note 2 very important notes:1. CASH only2. No seafood and no fishThey offer a set menu (2 versions), but unless you’re going to have your full meal here I would opt out and choose your own 3 tapas to share between 2 people; this is what we did. Saved us some money so we could try other places the same night.Very quaint and tight knit restaurant. We arrived around 8 pm and had 3 couples in front of us so we waited with a glass of wine in hand. Great casual date night ambience. Dark with low lighting. The staff is super knowledgeable and friendly, and gave us a tapas-by-tapas explanation of what they are before we chose what we wanted. They are categorized sections. You choose your tapas and they will reheat/cook it for you as you wait.Food: We started with their complimentary potato dish, then moved on to the ham and cheese pastry, which had a nice sharp manchego dominant flavor (in a good way!)The star of the night for us were the last 2 tapas we chose. The “FLAN” BROCCOLI dish topped with bubbly goat cheese was light, different, and delicious!! And the “FLAN” of MUSHROOM was full-flavored.. we could’ve easily taken down 4 more.. both were 3 Euros each.Show less","Reviewed November 30, 2019",Date of visit: November 2019
50,Best TAPAS experience!,"Best TAPAS experience, if you want to try tapas, its the best place to do it! We tried option 1. Oliver is the best :)","Reviewed November 29, 2019",Date of visit: November 2019
50,"Amazing Tapas, fast service","Amazing Tapas, fast service not a place to sit all night it is too busy but the food is of a very high standard.","Reviewed November 28, 2019",Date of visit: November 2019
50,Great Tapas,Tapas here was on a different level to any we have had before. Absolutely worth waiting for a table.Kate our server was lovely and her recommendations as to what to eat were fantastic.,"Reviewed November 27, 2019",Date of visit: November 2019
50,Great place for tapas,Go early or you might have to go some other day. The place is small but the food and ambiance are excellent. A must go if you are visiting Barcelona.,"Reviewed November 24, 2019",Date of visit: November 2019
40,Tapas,Nice and cosy tapasbar with friendly staff. Very nice to sit in the bar and talk to Cindy in the kitchen on the other side of all the tapas.,"Reviewed November 23, 2019",Date of visit: November 2019
50,Best tapas in the city,"The best place! Amazing food, really friendly staff and cozy atmosphere ! We loved it :) Greetings from Greece!","Reviewed November 23, 2019",Date of visit: November 2019
50,The best restaurant from our trip!!!!,"There are 2 restaurants, so if you find a long line, don’t worry, just try the other, it’s up the street, a minute away by foot.Important tip: the restaurant doesn’t accept cash, so take some with you before coming (for the surprise menu + a good red wine bottle for two you can count 70 euros).We’ve travelled to Barcelona for 7 days and we came there twice, and on both occasions we ordered the “surprise tapas menu” for 20 euros/person and we ate incredibly tasty and fresh food, each time with a diversity of tapas! One of the tapas was not to our taste (egg plant based), so we asked to change and the waiter changed without problem! Amazing customer service!!!!The staff speak Spanish, English and French and they are adorable!We recommend this restaurant, it serves the best tapas we‘ve eaten in Barcelona! Also one of the best sangrias we’ve tasted, and in 7 days and we tried aaaaaa lot!We’ll come back for sure!!From Paris, with Love(Le Venezuelan de Paris et la Bresilienne qui parle espagnol avec un accent français)Show less","Reviewed November 22, 2019",Date of visit: November 2019
50,You need to eat this food,We were on vacation in Barcelona and came here because of the great reviews and it definitely lived up to it! There was a short wait (5 minutes) because it’s a small place but it was worth every second. Oliver was our server and we got the Surprise menu. Everything we had was delicious and Oliver was a great host! Probably one of the best meals we’ve ever had.Show less,"Reviewed November 22, 2019",Date of visit: October 2019
50,cosy place delicious food,"Small but cosy, food delicious, personel kind, helpful and amiable. Everything is given if one wants a bit of quality time well spent, with various food, drinks and kind personel. Best regards to Oliver, our waiter. Hope to be back soon!","Reviewed November 21, 2019",Date of visit: November 2019
50,Great place,Love this place. Best in Barcelona Tapas all tops. Went 5 times between both locations. Secret menu or straight up great Gianmarco is a superb host and makes all feel AT home,"Reviewed November 21, 2019",Date of visit: November 2019
50,Lovely restaurant,"Very good tapas, staff (especially Brenda, you are amazing!!!) and the location. We felt like locals. Amazing place, a must visit when in Barcelona","Reviewed November 20, 2019",Date of visit: November 2019
50,Best place to eat tapas,"Me and my friends had an amazing time here. Our server, Cesar was very friendly and helpful. I strongly recommend this place for those visiting and looking for a good, authentic tapas restaurant. Everything we tried was absolutely delicious. The place is nice and cozy and vibes are good.Show less","Reviewed November 20, 2019",Date of visit: November 2019
50,The Best dinner,We was trying sunday evning but it was one hour with waiting outside (8 p. m.)Then we went back Monday evning at 6 p. m. The dinner was so Nice. Best so fair! And Jennifer and the rest of the Staff was so kind and had a Great service. Thank you so much! :)Show less,"Reviewed November 18, 2019",Date of visit: November 2019
50,I would reccomend this bar,I would reccomend this bar to everyone who enjoys food and like the calm atmosphere...such a beautiful place to eat and drink with your friends,"Reviewed November 17, 2019",Date of visit: November 2019
50,So good!,"We had a fabulous time! The wait was maybe 15 minutes, the staff was so friendly, and the food was amazing! We will definitely be back and will reccomend to anyone visiting the city!!! Kate was a precious server and we loved this experience!","Reviewed November 17, 2019",Date of visit: November 2019
50,Service from Oliver was first,Service from Oliver was first class and the food all different from the norm but amazing. Lovely and warm on a cold winters evening. Worth the 10 minute wait outside with beer in hand!,"Reviewed November 17, 2019",Date of visit: November 2019
50,Great tapas bar!,"I would reccomend this tapas bar to everyone. Delicious food, really good sangrija and very nice service - especially Oliver!","Reviewed November 16, 2019",Date of visit: November 2019
50,Deputamadre! Comida de jefes!,"An outstanding performance. The food of gods brought to you by Oliver. Go for the extra menu, we absolutely recommend it. Dace and Ivars from the cold Latvia.","Reviewed November 16, 2019",Date of visit: November 2019
50,Perfect for vegetarians!,"I was really nervous in the queue with my delicious Sangria that there wouldn’t be many Vegetarian dishes and it would be standard Potatas bravas and bread and oil again...I couldn’t have been more wrong! Oliver hosted us and explained that they could do a half meat, half veggie tasting menu for myself and my boyfriend. It was genuinely the most amazing tapas I’ve ever had and the effort that went in to making sure it was special from oliver and all of the team was amazing. Would love to come back again one dayShow less","Reviewed November 16, 2019",Date of visit: November 2019
50,TAPAS to Die For!,By far the best place we ate at during our 2 week Europe trip. This place was so good that we ate here twice during our short stay in Barcelona. See Oliver the TAPA Master!,"Reviewed November 15, 2019",Date of visit: November 2019
50,Cesar - what a guy!,"Amazing food! As someone who has just moved to the city, there are no restaurants with a better value for money service. Extremely unique and different service/menu style, but it did not disappoint one bit. A casual meal by yourself or a good spot to take someone who is visiting the city. Great staff to, Cesar our main waiter was the perfect balance of attentive & inquisitive but reserved. Brilliant meal.Show less","Reviewed November 15, 2019",Date of visit: November 2019
