,Year of review,Month of review,Day of review,Rating,Review Quote,Full Review,Clean Full Review,Total Words Review,Total StopWords
10, 2013,7,17,4,Love this Bodega,Gluten friendly. The food was great. Tapas bar which always means lots of plates lots to try. My kids loved it.,gluten friendly food great tapa bar always mean lot plate lot try kid loved,21,6
11, 2013,7,19,4,Thank You TripAdvisor!,"We always avoid very ""in"" touristic restaurants in foreign countries, and try to explore local tastes in small and cosier places. This one was very close to our apartment and we have discovered it through Trip Advisor. Just the perfect place we were looking for! Tapas are excellent, mojitos were great, owners are very friendly.. Even our 6 and 8 year olds refused to leave :) Thank you!Show less",always avoid touristic restaurant foreign country try explore local taste small cosier place one close apartment discovered trip advisor perfect place looking tapa excellent mojitos great owner friendly even 6 8 year old refused leave thank youshow le,69,28
12, 2013,7,22,4,"Great food, great serving","Definitely the best food we've had in Barcelona! I'd recommended it to everyone. Many small tapas ranging from 1 to 4 euros, and every single one of them was a pleasure for the tongue. The place is small and cozy and the lady very attentive and careful, not only with the customers but also with the food. Loved it, I'd go to Barcelona again for this place.Show less",definitely best food weve barcelona id recommended everyone many small tapa ranging 1 4 euro every single one pleasure tongue place small cozy lady attentive careful customer also food loved id go barcelona placeshow le,68,32
13, 2013,7,24,4,Amazing tapas,Cute lil authentic Spanish tapas. Not good for a large group as very small premises but a must do!!!!,cute lil authentic spanish tapa good large group small premise must,19,7
14, 2013,7,26,4,"Wow, some of the best food I've ever eaten","The Best tapas we had in Barcelona, great family run bar. Good service and unbelievable food. Definitely recommend it if you're looking for somewhere reasonable around Placa Reial",best tapa barcelona great family run bar good service unbelievable food definitely recommend youre looking somewhere reasonable around placa reial,28,9
15, 2013,7,26,5,Felt were spanishy,"Went here with friends there were 5 of us. We have drinks outside in the street while we waited which was really nice on a hit evening. The little taps bar was heaving and eventually we were sat in a row at the bar. The croquettes were my favourite we ended up ordering another one each, the green peppers were fabulous, the red wine was lovely and I had 2 wonderful glasses. A real good tapas place.Show less",went friend 5 u drink outside street waited really nice hit evening little tap bar heaving eventually sat row bar croquette favourite ended ordering another one green pepper fabulous red wine lovely 2 wonderful glass real good tapa placeshow le,78,37
16, 2013,7,27,4,Tasty tapas...beware of the beer,"After reading the reviews on trip advisor me and the boyf visited this lovely little tapas bar. We were lucky to get a table on arrival after 8pm but seats free up relatively quickly anyway. The tapas were AMAZING, with favourites being the mushroom croquettes (accidentally had 3 woops they are £1.50 each watch out), goats cheese and spinach tart and the roasted pepper.**Beer drinkers be warned** a large beer is €5 so maybe stick with wine here!Such a good atmosphere and service was really good despite it being packed.Definitely recommend this place to anyone.Show less",reading review trip advisor boyf visited lovely little tapa bar lucky get table arrival 8pm seat free relatively quickly anyway tapa amazing favourite mushroom croquette accidentally 3 woops 150 watch goat cheese spinach tart roasted pepperbeer drinker warned large beer 5 maybe stick wine heresuch good atmosphere service really good despite packeddefinitely recommend place anyoneshow le,96,39
17, 2013,7,4,4,Superb tapas served by passionate chef & owner,"Brilliant selection of tapas, all made by the owner who's family has been running this place for generations. Ask for the house specialty and you'll hopefully be shown the superb goats cheese filo pastry or the stuffed potatoes with minced meat. We had so many I can't list them all, but suffice to say we ordered as much as we could stomach before rolling out the door.The best part of the counter experience was chatting with the owner who I think appreciated our attempts at Spanish, and as is the way with Spaniards, you make the effort and they'll go that extra mile to help - and that's exactly what happened here. The best, most friendly service we've probably had in Barcelona. I'm glad we stumbled upon this bar after walking out on the touristy 'Royal Tapas' just around the corner.Prices were fair, too, but you need to get in early or loiter around outside for a table. Great experience from start to finish.Show less",brilliant selection tapa made owner who family running place generation ask house specialty youll hopefully shown superb goat cheese filo pastry stuffed potato minced meat many cant list suffice say ordered much could stomach rolling doorthe best part counter experience chatting owner think appreciated attempt spanish way spaniard make effort theyll go extra mile help thats exactly happened best friendly service weve probably barcelona im glad stumbled upon bar walking touristy royal tapa around cornerprices fair need get early loiter around outside table great experience start finishshow le,165,74
18, 2013,8,1,4,Great food - excellent service.,We went to the Bodega Biarritz 1881 on our first night in Barcelona. We were not disappointed! The food was excellent and the staff were very helpful and pleasant. I would recommend this tapas bar without reservation.,went bodega biarritz 1881 first night barcelona disappointed food excellent staff helpful pleasant would recommend tapa bar without reservation,37,18
19, 2013,8,18,4,Loaded with character……feels like a night out in Spain is supposed to,"Just back from our evening meal and had a great time. Other reviews are pretty darn accurate, even many of the points made by those reviewers providing a lower score. It is very small. There are only a few tables for two and the main bar. The whole place has maybe 20 seats.We were worried about finding it. However, it was not a problem at all after checking the location on Google Maps. The cab driver could only drop us on LAs Ramblas and we walked the last two short blocks.While I don't think the food deserves five stars, I do think this small, family run and operated business deserves to be patronized, so I gave it five to keep it near the TA top of list.We had a blast and enjoyed everything we tried…..unusual with my two kids in tow.Important to note they are cash only.Show less",back evening meal great time review pretty darn accurate even many point made reviewer providing lower score small table two main bar whole place maybe 20 seatswe worried finding however problem checking location google map cab driver could drop u la ramblas walked last two short blockswhile dont think food deserves five star think small family run operated business deserves patronized gave five keep near ta top listwe blast enjoyed everything triedunusual two kid towimportant note cash onlyshow le,148,69
20, 2013,8,18,4,Great tapas bar close to flamenco show,"We spent a night on La Rambla and wanted to go to the Show Flamenco Los Tarantos in the Placa Reial just off the La Rambla. The Placa is just about half way down to the left if heading south on La Rambla. We wanted to keep everything as simple and convenient as possible. So we purchased our tickets for the Flamenco Show on the internet for 8 euros per/person. It is 10 euro at the show We went to the 8:30 pm show. The show only lasts about 45 minutes but gives you the flavor of the dance. I highly recommend buying the tickets ahead of time because when we got to the show location there was about 10 people in line but when they opened the doors at 8:00 pm they asked if anyone in line had tickets and we went right in and had first choice of a seat for the show. We had dinner before the show at Bodega Biarritz 1881 and the choices of the tapas were varied and tasty. The Bodega Biarritz is just off the Placa Reial. It is only a minute away from the Show Flamenco Los Tarantos which is in the Placa Reial.Also, if you want low cost drinks after the show there is an Irish pub just off the north side of the Placa Reial. Local beer was only 1.75 euros and a glass off wine was 2.75 euros. We paid 25 euros for a large beer and glass of wine on La Rambla earlier in the day. If you are looking for a reasonably priced evening of entertainment,dinner and drinks this will be a great choice.Show less",spent night la rambla wanted go show flamenco los tarantos placa reial la rambla placa half way left heading south la rambla wanted keep everything simple convenient possible purchased ticket flamenco show internet 8 euro perperson 10 euro show went 830 pm show show last 45 minute give flavor dance highly recommend buying ticket ahead time got show location 10 people line opened door 800 pm asked anyone line ticket went right first choice seat show dinner show bodega biarritz 1881 choice tapa varied tasty bodega biarritz placa reial minute away show flamenco los tarantos placa reialalso want low cost drink show irish pub north side placa reial local beer 175 euro glass wine 275 euro paid 25 euro large beer glass wine la rambla earlier day looking reasonably priced evening entertainmentdinner drink great choiceshow le,278,142
21, 2013,8,22,4,An absolute must,"Decided to stop in after our first day in Barcelona and reading the reviews on here thought we would give it a crack. The people on here were not lying, it is fantastic food and drink and the hosts could not be any more welcoming. Just off the main street a hidden gem.The food was to die for and i tastes everything because i couldnt walk away knowing i had missed out on something. The puff pastry and meat were lush as was the chicken wings.Would well recommend and i will defo be going back tomorrow before i fly back to england!Show less",decided stop first day barcelona reading review thought would give crack people lying fantastic food drink host could welcoming main street hidden gemthe food die taste everything couldnt walk away knowing missed something puff pastry meat lush chicken wingswould well recommend defo going back tomorrow fly back englandshow le,103,54
22, 2013,8,23,4,Great tapas!,"This is definitely one of the best tapas restaurants in town. The prices are a little higher (3-4?) but the portions are bigger. So if your usual pick is around 12 tapas, here 8 will do. The place is very small and cosy, and dont expect a free table after 9.Show less",definitely one best tapa restaurant town price little higher 34 portion bigger usual pick around 12 tapa 8 place small cosy dont expect free table 9show le,52,24
23, 2013,8,26,5,go early,"this place is TINY and doesn't seem to have air conditioning. The tables only fit 2 people, maybe 3 if you don't mind being very close, but sit at the bar to see all the food. The ladies are wonderful and will explain what each item is and how it is made. It was so good we went 2 different nights.Show less",place tiny doesnt seem air conditioning table fit 2 people maybe 3 dont mind close sit bar see food lady wonderful explain item made good went 2 different nightsshow le,62,34
24, 2013,8,27,5,"excellent tapas bar, and nice mohijos","Had to queue to get a table, but staff came out and got us a drink whilst standing outside, only had to wait 15 minutes. You went along the bar and picked what tapas you wanted which were then cooked for you. Service good, drinks and cocktails good. Only negative for us is that we were a party of 4 and only seats available were along the bar, so unable to chat easily to each other, but other than that food good and good atmosphere. The staff worked hard. Would recommend it.Show less",queue get table staff came got u drink whilst standing outside wait 15 minute went along bar picked tapa wanted cooked service good drink cocktail good negative u party 4 seat available along bar unable chat easily food good good atmosphere staff worked hard would recommend itshow le,93,43
25, 2013,8,29,4,Great experience all round,"Crowded, cramped, full of character. Point at the tapas you like the look of (friendly staff will help you out if you like, and they speak good english) then sit down with your drink and enjoy the place. My favourite meal in our four day trip.Show less",crowded cramped full character point tapa like look friendly staff help like speak good english sit drink enjoy place favourite meal four day tripshow le,47,22
26, 2013,8,30,4,Brilliant!,What a great little place. My wife and I went based on Trip Advisor reviews and we weren't disappointed. Had to wait to get seated but it was worth the wait. Inside was a little cramped but the experience and food were superb - would definitely go back!!Show less,great little place wife went based trip advisor review werent disappointed wait get seated worth wait inside little cramped experience food superb would definitely go backshow le,49,22
27, 2013,8,31,5,Left before ordering. No aircondition,Very small. 4 tables. To hot to stay in. Suffocating. Closed at 22:00. Tapas looked good and tasty pn the bar,small 4 table hot stay suffocating closed 2200 tapa looked good tasty pn bar,21,6
28, 2013,8,7,5,Yummy Mojitos!!!,We stumbled across this cool looking bar...popped in and had some rather yummy Mojitos!!! I recommend if youre looking for a bite to eat and some reasonably priced cocktails!!!,stumbled across cool looking barpopped rather yummy mojitos recommend youre looking bite eat reasonably priced cocktail,29,13
29, 2013,8,9,4,outstanding,"After reading reviews on trip advisor we visited on 5th of august we arrived at 1915 there were plenty of seats but filled up quickly the bar had a friendly warm feel about it. The staff could not do enough to help and explained what each item was .The outstanding item has to be the mushroom croquettes or the spicy chicken, drinks were not overly expensive wine 3 Euros and cocktails 4 Euros. Our only disappointment was it was closed on Tuesday night as we planned to taste the items we could not eat on the first night.I would recommend this tapas bar without reservation to anyone visitingShow less",reading review trip advisor visited 5th august arrived 1915 plenty seat filled quickly bar friendly warm feel staff could enough help explained item outstanding item mushroom croquette spicy chicken drink overly expensive wine 3 euro cocktail 4 euro disappointment closed tuesday night planned taste item could eat first nighti would recommend tapa bar without reservation anyone visitingshow le,109,49
30, 2013,9,11,4,Amazing Tapas !!,Great atmosphere. Friendly and helpful staff. Cheap drinks (sangria @3.50 euros and mojitos @ 4.50 euros) and the best tapas! We walked around for the day trying to find a great tapas bar with loads of yummy options to pick from as we didn't just want to order off a menu. We accidentally stumbled across this hidden gem and have now been twice in two days! We came to Barcelona looking for traditional Tapas in an authentic atmosphere and have found it! Well worth the wait if it is too busy!Show less,great atmosphere friendly helpful staff cheap drink sangria 350 euro mojitos 450 euro best tapa walked around day trying find great tapa bar load yummy option pick didnt want order menu accidentally stumbled across hidden gem twice two day came barcelona looking traditional tapa authentic atmosphere found well worth wait busyshow le,92,39
31, 2013,9,11,4,Fantastic little family run place,"We went here after finding it on Trip Advisor and were pleased that we did. It is a wonderful little family run place that is exactly the sort of place you would hope to find in the City (and are largely absent from the centre of london)It was a bit hard to find initially, however when we did we were offered a warm welcome and got a seat immediately. We did go early by Spanish standards (around 8:30) and while it did get busy, people did not generally wait long for a seat.All of the food is laid out on a long bench, where there are seats and there are also tables and seats around the outside. The food all looks great, then you go and select what you want along with some items on a menu and it is then cooked and brought to you. Everything that we had was delicious and the only problem was that I was too full to eat everything I wanted. You can see everything being cooked as the kitchen is open, and often the food is brought by the chef.The staff were really helpful and friendly and they all appeared to be family as they were even posing for photos at the request of some diners.Only issue was that the beer (Estrella) was more expensive than usual at 5 euros a pint, although the food is all reasonable, as were other drinks.Definitely worth a visit!Show less",went finding trip advisor pleased wonderful little family run place exactly sort place would hope find city largely absent centre londonit bit hard find initially however offered warm welcome got seat immediately go early spanish standard around 830 get busy people generally wait long seatall food laid long bench seat also table seat around outside food look great go select want along item menu cooked brought everything delicious problem full eat everything wanted see everything cooked kitchen open often food brought chefthe staff really helpful friendly appeared family even posing photo request dinersonly issue beer estrella expensive usual 5 euro pint although food reasonable drinksdefinitely worth visitshow le,243,132
32, 2013,9,12,4,AMAZING TAPA,"we came here on a recent trip and LOVED it. this little hole in the wall, fits maybe 15-20 people max. it was a little squashie when we were there and we had to wait about 15 min for a spot at the bar but the 5 euro mojitos keep us company on the wait.the waitresses were great they were able to explain to us what all the tapas were and were happy to make recommendations for us too!! the food tasted AMAZING fresh and not over cooked nor did it feel it had been sitting there for too long.very popular place for people to visit we attempted several more times during our trip however she was always full!!!Show less",came recent trip loved little hole wall fit maybe 1520 people max little squashie wait 15 min spot bar 5 euro mojitos keep u company waitthe waitress great able explain u tapa happy make recommendation u food tasted amazing fresh cooked feel sitting longvery popular place people visit attempted several time trip however always fullshow le,120,62
33, 2013,9,12,4,Great little bar,"We came here via Trip Adviser and weren't disappointed. We lucked out with timing and didn't have to wait. Tiny crowded place but with a great variety of tapas and snack options, and good service. Friendly. Much better than going to a tourist oriented restaurant with picture menus.Show less",came via trip adviser werent disappointed lucked timing didnt wait tiny crowded place great variety tapa snack option good service friendly much better going tourist oriented restaurant picture menusshow le,49,21
34, 2013,9,12,5,Charming location for tapas,"This little tapas bar is pretty small and can easily be missed but if you do find it, it will be worth the journey. The staff are super friendly and the tapas tasty and authentic. You sit up at the bar and feel right at home. The selection of tapas is diverse for such a small place.Show less",little tapa bar pretty small easily missed find worth journey staff super friendly tapa tasty authentic sit bar feel right home selection tapa diverse small placeshow le,58,30
35, 2013,9,15,4,A Must!!,"We found this place on Trip Advisor, and stalked the streets of the Gothic Quarter with our Google Map guiding the way til we found it. My other half was a bit reprehensive as it was so small and didn't exactly look like a restaurant, but I suggested having a drink and a little nibble and we could go on elsewhere after... WELL... We both ate and ate til we could eat no more! Everything was so tasty and the whole setup felt very authentically Spanish - unlike a lot of other tapas bars in the area. I would recommend Bodega without hesitation for a delicious and atmospheric meal! You come away feeling you've had a real taste of Spain. The staff were also very friendly and helpful. The only negative I could mention is that the pricing is not exactly made clear, although this is only a problem if your eyes are bigger than you belly, like us! We just kept ordering more! Our bill was quite a bit more than we expected but by no means did we feel it wasn't worth every penny and we did eat A LOT so we were very satisified! Can't wait to go back on our next visit to Barcelona! :)Show less",found place trip advisor stalked street gothic quarter google map guiding way til found half bit reprehensive small didnt exactly look like restaurant suggested drink little nibble could go elsewhere well ate ate til could eat everything tasty whole setup felt authentically spanish unlike lot tapa bar area would recommend bodega without hesitation delicious atmospheric meal come away feeling youve real taste spain staff also friendly helpful negative could mention pricing exactly made clear although problem eye bigger belly like u kept ordering bill quite bit expected mean feel wasnt worth every penny eat lot satisified cant wait go back next visit barcelona show le,210,103
36, 2013,9,16,5,"Very nice atmosphere, but the food wasn't that good","The place is quite small but it has a nice atmosphere, you might have to wait outside for a while for a table. Unfortunately, while some of the dishes were ok, some of the tapas that was heated, came a bit cold. Also I got that night a stomach ache and nausea from their big chorizos.Show less",place quite small nice atmosphere might wait outside table unfortunately dish ok tapa heated came bit cold also got night stomach ache nausea big chorizosshow le,57,31
37, 2013,9,18,5,Great spot in the gothic area,"We stopped here for our first dinner in Barcelona on a several day trip. As noted the restaurant is quite small, but the interior is unique and funky. All the tapas options are laid out on the bar for you to browse. The staff were very friendly and helpful and would explain what each dish was (in English). The food comes fast as it's mostly pre cooked. All the tapas we ordered was great, but the stand out was the cod croquettes. As others have noted, their mojitos are very good; sangrias were average. Overall a really fun place for dinner in a great part of Barcelona. Prices are very reasonable.Show less",stopped first dinner barcelona several day trip noted restaurant quite small interior unique funky tapa option laid bar browse staff friendly helpful would explain dish english food come fast mostly pre cooked tapa ordered great stand cod croquette others noted mojitos good sangria average overall really fun place dinner great part barcelona price reasonableshow le,112,56
38, 2013,9,19,4,Small happening place great tapas,Great place in the gothic area just off the main plaza but be carefully its easy to miss not sure if open for lunch. Very busy at night small place but great full atmosphere plus tapas to match would highly recommend this place,great place gothic area main plaza carefully easy miss sure open lunch busy night small place great full atmosphere plus tapa match would highly recommend place,43,17
39, 2013,9,19,4,"Excellent tapas, excellent prices, excellent service fantastic authentic night.","Fantastic authentic restaurant in a very tourist orientated spot. Arriving in Barcelona it's hard to find somewhere authentic and great to eat! This place is it! Located just off la rumblas which is very dense in tourist restaurants and pick-pocketers. It's worth locating this little gem. So many places in this area have pictures of food in the window and have that very plastic feel..... This place has no menu the food is cooked and presented in front of you which the friendly staff can explain or advice..the food is then represented with garnishes etc, the wine is fantastic and extremely well priced, we are visiting for ten day and have been now to several restaurants but have decided to return here for our last also! I could not recommend higher!Show less",fantastic authentic restaurant tourist orientated spot arriving barcelona hard find somewhere authentic great eat place located la rumblas dense tourist restaurant pickpocketers worth locating little gem many place area picture food window plastic feel place menu food cooked presented front friendly staff explain advicethe food represented garnish etc wine fantastic extremely well priced visiting ten day several restaurant decided return last also could recommend highershow le,132,65
40, 2013,9,2,5,Awesome!,This place was a great lil tapas bar with tasty food!The restaurant is on the small side so you may have to queue at peak times to get a table. We were lucky and managed to grab tables just before the dinner rush. The young lady who served us was very helpful in explaining all the different dishes. They all look so delicious its easy to get carried away! So dont over order. Drinks are decent - sangria and mojitos were 3.50-4.00 eurosI hope to be back again!!!Show less,place great lil tapa bar tasty foodthe restaurant small side may queue peak time get table lucky managed grab table dinner rush young lady served u helpful explaining different dish look delicious easy get carried away dont order drink decent sangria mojitos 350400 eurosi hope back againshow le,89,40
41, 2013,9,7,4,What a wonderful place,"Excellent tapas with a huge variety of choice, set out in the traditional style. Everything we hadtasted great and the price for two of us, including two alcoholic drinks each was under 50euros.The owners are very friendly and speak English fluently, as well as other languages, so they can tell you exactly what is in everything. We wanted to return but sadly went on a Monday when it is closed!Get there before 8 to ensure a table/space at the bar, otherwise you may have to wait a little while!Will definitely return when next in Barcelona – cannot recommend highly enough.Show less",excellent tapa huge variety choice set traditional style everything hadtasted great price two u including two alcoholic drink 50eurosthe owner friendly speak english fluently well language tell exactly everything wanted return sadly went monday closedget 8 ensure tablespace bar otherwise may wait little whilewill definitely return next barcelona cannot recommend highly enoughshow le,101,47
42, 2013,9,8,4,Excellent,"The good here is amazing! As the other reviews say you often have to wait for a table and is not and small, but the food makes it all worth while! Delicious!!!",good amazing review say often wait table small food make worth delicious,32,19
43, 2013,9,8,4,Wonderful tapas,"We enjoyed this place so much we went back a second time! The place is small and atmospheric - most people sit at the bar or at very small tables together. I think this adds to the liveliness of the restaurant, although at busy times you might have to wait a few minutes for a table to come up. You order from a large range of small tapas dishes on the bar. The food is superb - the best tapas we had in Barcelona by a long way. It's very authentic Spanish food and good quality meats - unlike what you find in many of the kitsch tapas restaurants around the rambla area. The staff are incredibly friendly, welcoming and helpful. They will help you choose if you're overwhelmed by the number of dishes available. Well worth a visit (or two!).Show less",enjoyed place much went back second time place small atmospheric people sit bar small table together think add liveliness restaurant although busy time might wait minute table come order large range small tapa dish bar food superb best tapa barcelona long way authentic spanish food good quality meat unlike find many kitsch tapa restaurant around rambla area staff incredibly friendly welcoming helpful help choose youre overwhelmed number dish available well worth visit twoshow le,142,64
44, 2013,9,9,4,Smorgasbord of indulgence!,"Loved everything about this place. Staff were friendly and fun, atmosphere was great. Weather was hot and there is no air conditioning, however this appealed because it added to the intimate and sensual nature of the place. Food was fabulous - plenty of options for both vegetarians and meat eaters. Prices excellent and really interesting decor and set up with food on the bar. Great sangria and cocktails. Went back there several times after trying a number of sub standard places nearby. Highly recommend this place. Thank you!Show less",loved everything place staff friendly fun atmosphere great weather hot air conditioning however appealed added intimate sensual nature place food fabulous plenty option vegetarian meat eater price excellent really interesting decor set food bar great sangria cocktail went back several time trying number sub standard place nearby highly recommend place thank youshow le,89,35
45, 2013,10,10,4,nice local food,"Great tapas bar off the main square, tiny place and we had to wait about 10 mins for a seat. While we waited we had drinks and the mojito was fantastic - good amount of sugar. When we did get seated, we sat on the bar, which i would recommend as you can see all the food to choose from. We got the attention of the waitress, who puts all your food as you choose it on a plate and then whips it away to be heated. We had about 10 different tapas, all which were very tasty. Cheap price, good food, fun music, friendly lovely staff - would recommend and highly likely to go back.Show less",great tapa bar main square tiny place wait 10 min seat waited drink mojito fantastic good amount sugar get seated sat bar would recommend see food choose got attention waitress put food choose plate whip away heated 10 different tapa tasty cheap price good food fun music friendly lovely staff would recommend highly likely go backshow le,117,57
